frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,154.6,13,446,373,48.59033619469361,40.6372094184321,,,,,12,452,251,49.24401784753702,27.34568247728273,,,,,,,,,,,,,
1,154.6,13,445,373,48.48138925255304,40.6372094184321,,,,,12,475,254,51.7497975167701,27.672523303704434,,,,,,,,,,,,,
2,309.9,13,445,373,48.48138925255304,40.6372094184321,,,,,12,496,261,54.03768330172205,28.435151898688414,,,,,,,,,,,,,
3,333.2,13,445,373,48.48138925255304,40.6372094184321,-0.19433590413755977,0.0,4.654752194911611,0.0,11,520,274,56.652409913095696,29.851462146515807,50.55638741892556,54.25845371192602,101.6352599013499,450.48524505748384,,,,,,,,,
4,357.3,13,446,373,48.59033619469361,40.6372094184321,-0.9926749341394613,0.0,-15.097717629497506,0.0,11,538,290,58.613454871625926,31.594613220764906,42.7739292040853,76.37050404229382,87.94048450565936,562.617356964282,,,,,,,,,
5,396.0,13,446,373,48.59033619469361,40.6372094184321,-1.1939453523976808,1.6238162345246152,-57.12657188505648,37.71930858361475,11,553,309,60.247659003734455,33.664605121435706,52.10751626815329,127.80567382071642,-464.98576226072277,1557.9257280493587,,,,,,,,,
6,416.7,13,445,373,48.48138925255304,40.6372094184321,0.0,0.0,0.0,0.0,11,562,330,61.228181482999574,35.95249090638765,29.329870939071235,168.0387936431701,-610.0548163050465,2274.7923580860866,,,,,,,,,
7,428.5,13,445,373,48.48138925255304,40.6372094184321,1.5215813922159622,0.0,85.72289533611054,0.0,11,568,353,61.881863135842984,38.45827057562073,3.134643307350006,166.3440795622231,-1201.4035714926063,1964.7302700000232,,,,,,,,,
8,440.3,13,445,374,48.48138925255304,40.74615636057267,-1.1561058318458266,-0.3128879032635731,58.83490238401152,-125.15516130542909,11,570,375,62.09975702012412,40.85510330271324,-9.726075560808805,177.66355262437168,-2326.5985189565267,692.9943082330437,,,,,,,,,
9,451.8,13,445,373,48.48138925255304,40.6372094184321,0.0,0.0,0.0,0.0,11,568,397,61.881863135842984,43.25193602980575,-31.666620849053846,193.16869190534547,-2865.5287613658957,-842.8893232042985,,,,,,,,,
10,464.2,14,446,373,48.59033619469361,40.6372094184321,0.31437471867484307,0.0,-153.35352130480072,0.0,11,562,419,61.228181482999574,45.64876875689826,-67.89832776738302,179.95433482481562,-2778.0345839546235,-1202.2509835802737,,,,,,,,,
11,479.6,13,445,373,48.48138925255304,40.6372094184321,0.0,-1.3646035911249517,0.0,71.63273444225464,11,550,444,59.92081817731275,48.372442310412474,-104.24364960454604,156.59005995041392,-2483.4561397578354,-1765.43668349807,,,,,,,,,
12,491.3,14,445,373,48.48138925255304,40.6372094184321,0.0,0.0,0.0,0.0,11,536,461,58.39556098734479,50.22454032680214,-132.12244538680113,133.24589893520837,-2220.8421013048523,-2191.1761436380866,,,,,,,,,
13,504.0,13,445,373,48.48138925255304,40.6372094184321,0.04900645137348969,0.0,140.01843249568748,0.0,10,517,476,56.32556908667399,51.85874445891067,-150.99897433547372,105.43349812345996,-1397.8773038891275,-2542.514679804433,,,,,,,,,
14,517.7,14,445,373,48.48138925255304,40.6372094184321,0.7551170630445155,0.0,39.63869097346536,0.0,11,497,487,54.14663024386261,53.05716082245693,-141.74687692009752,80.75121298123007,514.7827898601206,-2215.605152154623,,,,,,,,,
15,529.4,13,445,373,48.48138925255304,40.6372094184321,0.45836684727530397,0.0,24.061251825475296,0.0,11,475,493,51.7497975167701,53.71084247530034,-148.35671493857373,60.10045057888406,1368.6494739152156,-1648.4799380587326,,,,,,,,,
16,543.1,13,446,373,48.59033619469361,40.6372094184321,1.9835153538965353,0.0,-41.06657047404834,0.0,11,453,496,49.35296478967759,54.03768330172205,-149.04251311126748,34.47088814572098,1497.952046815275,-1087.2863420747963,,,,,,,,,
17,575.2,13,446,373,48.59033619469361,40.6372094184321,1.597307285700158,0.0,-10.345118011529948,0.0,11,430,496,46.847185120444514,54.03768330172205,-105.85883430393612,-1.1009522683460446,733.4969533107106,-631.4266826132424,,,,,,,,,
18,607.4,13,446,373,48.59033619469361,40.6372094184321,0.8010916873831675,0.0,-15.273435412453146,0.0,11,407,490,44.341405451211436,53.38400164887863,-79.72039355908905,-21.448622941666457,391.2562024818273,-442.5219470835881,,,,,,,,,
19,639.7,13,446,373,48.59033619469361,40.6372094184321,0.0,0.0,0.0,0.0,10,385,480,41.94457272411893,52.29453222747295,-63.60153924094081,-36.37215628230185,271.0122155103288,-379.44335622795325,,,,,,,,,
20,676.9,13,447,373,48.69928313683418,40.6372094184321,-0.01821138659183469,0.0,-21.425160696277214,0.0,11,366,465,39.87458082344812,50.66032809536442,-54.316390226158205,-48.874780749546275,280.1204326829564,-308.0783022677853,,,,,,,,,
21,712.3,13,446,373,48.59033619469361,40.6372094184321,0.0,0.0,0.0,0.0,11,350,447,38.13142974919902,48.69928313683418,-43.155378398883606,-59.59530141291404,305.88422001970696,-284.77411528528836,,,,,,,,,
22,742.9,13,446,373,48.59033619469361,40.6372094184321,-0.5798609688399753,0.0,-11.237615675193327,0.0,11,338,427,36.8240664435122,46.520344294022806,-31.565764980761227,-66.52546793323724,349.8361228652449,-204.92314863513607,,,,,,,,,
