frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,155.7,11,444,138,34.66691698912894,10.774852577702239,,,,,31,403,26,31.465692672565233,2.0300446885525956,,,,
1,155.7,11,442,138,34.51075970539413,10.774852577702239,,,,,32,401,27,31.30953538883042,2.1081233304200033,,,,
2,308.2,11,441,138,34.43268106352672,10.774852577702239,,,,,23,348,17,27.17136736985782,1.327336911745928,,,,
3,357.8,11,441,139,34.43268106352672,10.852931219569646,-2.005284510175171,0.05868815613980456,-8.374809375588068,-3.2424395657350593,50,355,44,27.71791786292967,3.4354602421659313,-19.280011870511046,-44.67411423337367,-7.282053499841032,-510.9171140030253
4,357.8,11,440,139,34.35460242165931,10.852931219569646,-1.9465963540352056,0.05868815613980456,-11.617248941321185,-3.2424395657350593,49,353,42,27.561760579194857,3.279302958431116,-17.450791828755538,-43.02095866003748,10.82007457294977,-483.0876672330283
5,383.4,11,440,139,34.35460242165931,10.852931219569646,-4.510844962049203,0.2750477312512645,-92.3554561165566,-20.29872555359884,26,346,20,27.015210086123005,1.5615728373481506,-4.785892693300538,-1.292755421645174,-72.05673056296217,-117.22326749587616
6,394.0,11,440,139,34.35460242165931,10.852931219569646,-4.114100702008063,0.0,-108.13437249363255,0.0,26,346,19,27.015210086123005,1.483494195480743,-11.609218947567184,-23.422244517372356,431.08276747464,1685.053562400888
7,394.0,11,439,139,34.2765237797919,10.852931219569646,-2.0895275730384704,0.0,3.7204965102015826,0.0,26,345,18,26.937131444255595,1.4054155536133355,-9.89053815874789,-26.746322008146457,406.8734983556497,1382.2388634701015
8,410.5,11,438,139,34.198445137924494,10.852931219569646,-2.161199557902762,0.0,265.76102099821264,0.0,27,344,19,26.859052802388188,1.483494195480743,-2.161199557902835,-1.5969425076056216,265.76102099821696,94.77403605968085
9,421.8,11,438,139,34.198445137924494,10.852931219569646,-1.957653660768846,-1.086907179117947,263.27444740292873,-78.19476108762206,27,344,19,26.859052802388188,1.483494195480743,-3.044560839886862,0.0,185.07968631531088,0.0
10,432.7,11,438,139,34.198445137924494,10.852931219569646,-0.9285730385450531,0.0,56.27715385121534,0.0,27,344,18,26.859052802388188,1.4054155536133355,-0.9285730385450531,1.2770565235064757,56.27715385121534,65.99775315278944
11,444.2,11,439,139,34.2765237797919,10.852931219569646,-0.10792889654893414,0.0,-143.90519539857885,0.0,26,345,19,26.937131444255595,1.483494195480743,-0.10792889654893414,0.0,-143.90519539857885,0.0
12,454.7,11,439,138,34.2765237797919,10.774852577702239,0.18678528186030463,-0.808508757177529,-132.91341745586786,95.11867731500311,26,344,19,26.859052802388188,1.483494195480743,-0.6217234753172244,-0.6217234753172297,-37.79474014086473,-37.79474014086505
13,465.7,11,438,139,34.198445137924494,10.852931219569646,-0.348943009429093,0.0,-21.148061177520788,0.0,27,344,19,26.859052802388188,1.483494195480743,-0.348943009429093,1.615263278725506,-21.148061177520788,-45.50037404860576
14,476.4,11,438,139,34.198445137924494,10.852931219569646,-2.0170951817238136,0.21592396407730433,25.323438555418615,13.411426340205242,26,344,19,26.859052802388188,1.483494195480743,-2.0170951817238136,-0.21592396407730616,25.323438555418615,-13.411426340205358
15,504.6,11,437,139,34.12036649605709,10.852931219569646,-2.086269655775732,1.043134827887866,41.80901113779024,-20.90450556889512,26,343,18,26.78097416052078,1.4054155536133355,-1.043134827887866,-1.043134827887875,20.90450556889512,20.904505568895303
16,536.7,11,437,139,34.12036649605709,10.852931219569646,-0.6460173574808965,0.0,12.779769683103801,0.0,27,343,19,26.78097416052078,1.483494195480743,-0.6460173574808965,-0.31860939155552415,12.779769683103801,-8.97491243818377
17,569.4,11,437,140,34.12036649605709,10.931009861437053,-0.43708806277619416,0.0664994288235128,8.655209163885033,-16.62485720587818,26,343,18,26.78097416052078,1.4054155536133355,-0.43708806277619416,-0.4370880627761979,8.655209163885033,8.655209163885104
18,604.4,11,437,139,34.12036649605709,10.852931219569646,0.0,0.0,0.0,0.0,26,343,18,26.78097416052078,1.4054155536133355,0.37856587080817755,0.0,7.58649039695747,0.0
19,637.8,11,437,139,34.12036649605709,10.852931219569646,0.0,0.0,0.0,0.0,26,343,18,26.78097416052078,1.4054155536133355,0.0,-0.4220056977309822,0.0,6.929486005434843
20,670.4,11,437,139,34.12036649605709,10.852931219569646,0.0,-0.386719185816003,0.0,7.6502311734125215,26,343,18,26.78097416052078,1.4054155536133355,-0.3859545410483735,0.0,-7.642664179175712,0.0
21,706.4,11,437,139,34.12036649605709,10.852931219569646,0.0,0.0,0.0,0.0,26,344,18,26.859052802388188,1.4054155536133355,-1.6337483889967965,1.6081549370466917,-47.043632746074614,31.532449746013565
22,759.6,11,437,139,34.12036649605709,10.852931219569646,-0.6235037567300641,0.0,-10.238156924959995,0.0,26,343,18,26.78097416052078,1.4054155536133355,-2.4940150269202848,2.4940150269202777,-40.95262769984045,40.95262769984033
23,771.5,11,437,139,34.12036649605709,10.852931219569646,-0.40891109828239697,0.40891109828239697,-8.089240322104786,8.089240322104786,26,342,18,26.702895518653374,1.4054155536133355,-1.6054829684825178,1.2267332948472014,-16.482527263636236,24.26772096631456
24,805.1,11,437,139,34.12036649605709,10.852931219569646,-0.7839077534980281,0.39195387674901405,-15.884655592665203,7.942327796332601,26,339,22,26.46865959305115,1.7177301210829656,-1.1997610360779485,1.194981154911777,55.83770271403505,-39.904765493428236
25,836.4,11,436,139,34.04228785418968,10.852931219569646,-1.2525469083466994,0.3386347793199928,-6.143175148389891,8.818614044791484,26,339,22,26.46865959305115,1.7177301210829656,-1.6238398401868797,2.301109398826874,63.6134398543562,-45.9762117647727
26,868.8,11,436,140,34.04228785418968,10.931009861437053,-1.1806781360154424,0.018530532850316098,-7.774419240753302,-16.113506826361334,26,339,21,26.46865959305115,1.639651479215558,-0.05559159855094909,0.44297413293932747,48.34052047908473,-40.3778784567128
27,904.4,11,435,140,33.964209212322274,10.931009861437053,-1.1780741682976446,0.0055040331628589045,7.945754992471516,-15.72580903673855,27,341,21,26.624816876785967,1.639651479215558,1.1780741682976625,-0.7835481011441502,-7.945754992471875,0.055233649401494604
28,936.5,11,434,140,33.88613057045487,10.931009861437053,-0.7815617590459779,0.003104503133380205,15.553467841711,-15.52251566690163,27,341,22,26.624816876785967,1.7177301210829656,1.9445908882148217,-1.1630291291688362,7.683877396427024,-23.23734523813858
29,968.4,11,434,139,33.88613057045487,10.852931219569646,-0.7858848564943225,-0.39294242824716125,15.701995134751694,7.850997567375847,25,342,19,26.702895518653374,1.483494195480743,1.1788272847415016,-0.007831389681343483,-23.5529927021279,31.325558725374023
30,1004.4,11,434,139,33.88613057045487,10.852931219569646,-0.7800079691608336,-0.39078321254316506,0.015568990264700704,7.80006412261807,25,342,20,26.702895518653374,1.5615728373481506,1.9476822390138566,-2.3369069956315274,23.337916406795763,-31.12241153914904
31,1037.0,11,434,139,33.88613057045487,10.852931219569646,-0.7850852486475093,-0.3870934125362803,-15.623587037761377,7.757383016759128,25,344,19,26.859052802388188,1.483494195480743,-0.016347635362422893,-0.37619498896133496,-46.70752960691945,38.895736088039094
32,1068.5,11,434,139,33.88613057045487,10.852931219569646,-1.1630291291688262,-0.3876763763896087,-23.237345238138378,-7.745781746046127,26,342,21,26.702895518653374,1.639651479215558,0.7753527527792174,-1.1568201229020758,15.491563492092254,-54.2823765719421
33,1104.6,11,433,139,33.80805192858746,10.852931219569646,-1.5446134443853723,-0.38441917423562627,-15.277155322091826,-7.6730374098927445,23,346,15,27.015210086123005,1.1711796280111129,0.41216616400709516,-1.1879412599212247,-53.98693986002457,54.055859357717985
34,1136.8,11,432,139,33.72997328672005,10.852931219569646,-1.1731366805147758,-1.1700072760311204,7.847005236814146,-23.447039599822062,25,341,21,26.624816876785967,1.639651479215558,19.105424735116152,3.5131512325770284,429.9093807187147,39.04707396282995
