frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
42,1407.2,15,64,881,,,,,,,12,777,375,,,,,,,13,912,340,,,,,,,34,1015,135,,,,,,,14,811,867,,,,,,
43,1442.4,15,64,881,,,,,,,11,754,390,,,,,,,13,912,340,,,,,,,27,1013,129,,,,,,,14,811,867,,,,,,
44,1474.6,14,64,881,,,,,,,12,729,406,,,,,,,14,912,339,,,,,,,27,1013,130,,,,,,,14,811,866,,,,,,
45,1507.6,15,64,881,,,,,,,12,703,422,,,,,,,14,912,339,,,,,,,19,1014,126,,,,,,,14,811,866,,,,,,
46,1542.7,15,63,881,,,,,,,11,673,441,,,,,,,13,912,339,,,,,,,16,1009,134,,,,,,,14,811,866,,,,,,
47,1575.3,15,64,881,,,,,,,11,641,461,,,,,,,13,912,339,,,,,,,25,1016,129,,,,,,,14,811,866,,,,,,
48,1607.8,15,64,881,,,,,,,11,609,481,,,,,,,13,912,339,,,,,,,9,1004,139,,,,,,,14,811,867,,,,,,
49,1643.4,14,64,881,,,,,,,11,576,503,,,,,,,13,912,339,,,,,,,21,1018,134,,,,,,,14,812,867,,,,,,
50,1674.9,15,64,881,,,,,,,11,538,526,,,,,,,13,912,339,,,,,,,8,1007,142,,,,,,,14,811,867,,,,,,
51,1707.2,14,64,881,,,,,,,11,500,551,,,,,,,13,912,340,,,,,,,25,1017,137,,,,,,,14,811,866,,,,,,
52,1746.4,14,64,881,,,,,,,11,460,576,,,,,,,13,912,339,,,,,,,14,1012,142,,,,,,,14,812,866,,,,,,
53,1774.9,15,64,881,,,,,,,11,417,603,,,,,,,13,912,339,,,,,,,22,1017,142,,,,,,,14,812,866,,,,,,
54,1807.1,15,64,881,,,,,,,10,372,631,,,,,,,13,911,339,,,,,,,8,1002,148,,,,,,,14,811,866,,,,,,
55,1843.6,15,64,881,,,,,,,10,324,662,,,,,,,13,911,339,,,,,,,30,1022,138,,,,,,,14,812,866,,,,,,
56,1878.3,15,64,881,,,,,,,10,275,694,,,,,,,13,911,339,,,,,,,21,1014,138,,,,,,,14,812,866,,,,,,
57,1907.1,15,64,881,,,,,,,6,219,725,,,,,,,13,911,339,,,,,,,13,1016,129,,,,,,,14,811,866,,,,,,
58,1942.6,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
59,1974.9,15,64,882,,,,,,,,,,,,,,,,13,911,339,,,,,,,5,993,119,,,,,,,14,811,866,,,,,,
60,2007.3,15,63,881,,,,,,,10,69,809,,,,,,,13,911,339,,,,,,,8,1007,88,,,,,,,14,811,867,,,,,,
61,2042.6,15,64,881,,,,,,,10,32,817,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
62,2074.5,15,64,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
63,2110.4,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
64,2142.7,15,63,880,,,,,,,,,,,,,,,,13,911,338,,,,,,,8,37,816,,,,,,,14,811,866,,,,,,
65,2174.8,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,867,,,,,,
66,2206.6,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,11,15,829,,,,,,,14,812,866,,,,,,
67,2242.5,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,13,13,831,,,,,,,14,812,866,,,,,,
68,2279.3,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,867,,,,,,
69,2307.6,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,11,10,827,,,,,,,14,811,867,,,,,,
70,2342.8,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
71,2374.6,15,64,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
72,2407.7,15,63,880,,,,,,,,,,,,,,,,13,911,338,,,,,,,14,14,830,,,,,,,14,810,866,,,,,,
73,2442.8,15,64,880,,,,,,,,,,,,,,,,13,911,338,,,,,,,7,17,829,,,,,,,14,811,866,,,,,,
74,2474.5,15,64,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,14,13,827,,,,,,,14,812,866,,,,,,
75,2507.0,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
76,2543.2,15,63,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,867,,,,,,
77,2574.6,15,63,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,6,5,834,,,,,,,14,811,866,,,,,,
78,2606.7,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
79,2642.5,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
80,2675.5,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
81,2707.0,15,64,880,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
82,2742.3,15,64,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,811,866,,,,,,
