frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,140.6,15,10,882,,,,,,,12,840,370,,,,,,,14,907,412,,,,,,,,,,,,,,,,14,762,867,,,,,,
1,140.6,15,9,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,14,761,867,,,,,,
2,292.3,15,9,882,,,,,,,12,839,370,,,,,,,14,907,412,,,,,,,,,,,,,,,,14,761,868,,,,,,
3,313.5,15,9,882,,,,,,,12,839,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
4,356.8,15,10,882,,,,,,,12,840,370,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
5,367.8,15,10,882,,,,,,,12,840,370,,,,,,,14,907,412,,,,,,,,,,,,,,,,15,761,868,,,,,,
6,367.8,15,9,883,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,14,761,867,,,,,,
7,383.6,15,9,882,,,,,,,12,839,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
8,401.2,15,10,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
9,416.1,15,10,883,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,761,868,,,,,,
10,431.0,15,9,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,761,867,,,,,,
11,477.0,15,9,882,,,,,,,12,839,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
12,477.0,15,9,882,,,,,,,12,840,370,,,,,,,14,907,414,,,,,,,,,,,,,,,,15,762,867,,,,,,
13,490.5,15,9,882,,,,,,,12,840,370,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
14,507.6,15,10,883,,,,,,,12,839,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
15,521.0,15,9,882,,,,,,,12,839,371,,,,,,,14,907,414,,,,,,,,,,,,,,,,15,762,868,,,,,,
16,545.8,15,10,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
17,578.9,15,9,882,,,,,,,12,840,370,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
18,610.7,15,9,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,761,867,,,,,,
19,643.0,15,9,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
20,675.4,15,9,882,,,,,,,12,839,370,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
21,711.3,15,9,882,,,,,,,12,840,370,,,,,,,14,907,412,,,,,,,,,,,,,,,,15,762,867,,,,,,
22,743.0,15,9,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
23,777.4,15,9,882,,,,,,,12,839,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
24,812.2,15,10,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
25,843.4,15,9,882,,,,,,,12,840,371,,,,,,,14,907,413,,,,,,,,,,,,,,,,15,762,867,,,,,,
