frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,147.3,15,64,880,,,,,,,9,883,303,,,,,,,14,911,338,,,,,,,46,952,154,,,,,,,14,811,866,,,,,,
1,147.3,15,64,881,,,,,,,11,885,305,,,,,,,14,911,338,,,,,,,32,955,149,,,,,,,14,812,866,,,,,,
2,319.0,15,64,881,,,,,,,11,885,305,,,,,,,14,911,338,,,,,,,17,929,216,,,,,,,14,812,866,,,,,,
3,338.4,15,64,882,,,,,,,10,882,308,,,,,,,14,911,339,,,,,,,,,,,,,,,,14,812,867,,,,,,
4,360.6,15,64,882,,,,,,,10,881,308,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
5,382.9,15,64,881,,,,,,,10,880,307,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
6,382.9,15,64,880,,,,,,,10,879,308,,,,,,,13,912,338,,,,,,,5,971,139,,,,,,,14,812,866,,,,,,
7,393.2,15,64,880,,,,,,,10,879,308,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
8,408.7,15,64,881,,,,,,,10,879,308,,,,,,,13,912,338,,,,,,,,,,,,,,,,14,811,865,,,,,,
9,419.4,15,64,881,,,,,,,11,879,309,,,,,,,14,912,338,,,,,,,7,919,228,,,,,,,14,811,866,,,,,,
10,429.3,15,64,881,,,,,,,11,878,309,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
11,441.3,15,64,882,,,,,,,11,878,310,,,,,,,14,911,338,,,,,,,5,918,227,,,,,,,14,812,867,,,,,,
