frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
52,1744.5,15,13,883,,,,,,,13,964,670,,,,,,,15,1025,759,,,,,,,15,766,867,,,,,,
53,1775.2,15,13,883,,,,,,,13,964,669,,,,,,,15,1025,757,,,,,,,15,766,867,,,,,,
54,1807.3,15,13,882,,,,,,,13,963,667,,,,,,,15,1024,755,,,,,,,15,765,867,,,,,,
55,1842.8,15,13,882,,,,,,,13,963,667,,,,,,,15,1024,755,,,,,,,14,765,867,,,,,,
56,1874.7,15,13,883,,,,,,,13,963,666,,,,,,,15,1025,754,,,,,,,15,766,867,,,,,,
57,1907.0,15,13,883,,,,,,,13,963,666,,,,,,,15,1025,753,,,,,,,15,766,867,,,,,,
58,1944.8,15,13,883,,,,,,,13,963,666,,,,,,,15,1024,753,,,,,,,15,766,867,,,,,,
59,1975.1,15,13,883,,,,,,,13,963,665,,,,,,,15,1024,753,,,,,,,15,766,867,,,,,,
60,2007.2,15,13,883,,,,,,,13,963,664,,,,,,,15,1024,753,,,,,,,14,766,867,,,,,,
61,2044.0,15,13,883,,,,,,,13,963,664,,,,,,,15,1024,752,,,,,,,14,765,867,,,,,,
62,2078.1,15,13,882,,,,,,,13,963,665,,,,,,,15,1024,752,,,,,,,14,765,867,,,,,,
63,2118.6,15,13,882,,,,,,,13,963,665,,,,,,,15,1024,752,,,,,,,14,765,867,,,,,,
64,2142.7,15,13,883,,,,,,,13,963,665,,,,,,,15,1024,752,,,,,,,15,766,867,,,,,,
65,2174.7,15,13,883,,,,,,,12,963,664,,,,,,,15,1024,751,,,,,,,15,765,868,,,,,,
66,2207.5,15,13,882,,,,,,,13,962,663,,,,,,,15,1023,751,,,,,,,15,765,867,,,,,,
67,2243.0,15,13,883,,,,,,,12,962,662,,,,,,,15,1023,750,,,,,,,15,766,867,,,,,,
68,2276.4,15,13,883,,,,,,,13,962,661,,,,,,,15,1023,749,,,,,,,15,765,868,,,,,,
69,2309.5,15,13,883,,,,,,,13,962,660,,,,,,,15,1023,747,,,,,,,15,765,868,,,,,,
70,2343.0,15,13,883,,,,,,,13,961,658,,,,,,,15,1023,745,,,,,,,14,765,868,,,,,,
71,2375.1,15,13,883,,,,,,,12,961,656,,,,,,,15,1022,743,,,,,,,15,765,867,,,,,,
72,2407.5,15,13,883,,,,,,,13,960,654,,,,,,,15,1022,740,,,,,,,14,765,868,,,,,,
73,2443.2,15,13,883,,,,,,,13,960,651,,,,,,,15,1021,738,,,,,,,14,765,868,,,,,,
74,2474.9,15,13,883,,,,,,,12,959,648,,,,,,,15,1021,734,,,,,,,15,765,868,,,,,,
75,2507.0,15,13,883,,,,,,,13,959,647,,,,,,,15,1021,732,,,,,,,15,765,867,,,,,,
76,2542.7,15,13,883,,,,,,,13,959,645,,,,,,,15,1020,731,,,,,,,14,765,868,,,,,,
77,2576.3,15,13,883,,,,,,,12,958,644,,,,,,,15,1020,729,,,,,,,15,765,868,,,,,,
78,2609.1,15,13,883,,,,,,,12,957,641,,,,,,,15,1019,727,,,,,,,15,764,868,,,,,,
79,2642.6,15,13,883,,,,,,,13,957,640,,,,,,,15,1020,725,,,,,,,14,765,868,,,,,,
80,2674.7,15,13,883,,,,,,,13,957,639,,,,,,,15,1019,723,,,,,,,14,765,868,,,,,,
81,2707.1,15,13,883,,,,,,,12,956,636,,,,,,,15,1019,720,,,,,,,14,765,868,,,,,,
82,2742.9,15,13,883,,,,,,,13,956,635,,,,,,,15,1018,718,,,,,,,14,765,868,,,,,,
83,2774.8,15,13,883,,,,,,,13,955,633,,,,,,,15,1018,715,,,,,,,14,765,868,,,,,,
84,2806.8,15,13,884,,,,,,,13,954,630,,,,,,,15,1018,713,,,,,,,14,765,868,,,,,,
85,2842.8,15,13,883,,,,,,,13,954,627,,,,,,,15,1017,711,,,,,,,14,766,868,,,,,,
86,2874.7,15,13,883,,,,,,,13,953,625,,,,,,,15,1016,707,,,,,,,14,765,868,,,,,,
87,2907.3,15,13,883,,,,,,,13,952,623,,,,,,,15,1015,705,,,,,,,15,765,868,,,,,,
88,2943.1,15,13,883,,,,,,,12,952,620,,,,,,,15,1015,701,,,,,,,14,765,868,,,,,,
89,2974.7,15,13,884,,,,,,,13,951,617,,,,,,,15,1015,698,,,,,,,14,766,868,,,,,,
90,3006.9,15,13,884,,,,,,,12,950,614,,,,,,,15,1014,696,,,,,,,14,765,868,,,,,,
91,3042.6,15,13,884,,,,,,,12,949,612,,,,,,,15,1013,692,,,,,,,15,765,868,,,,,,
92,3076.6,15,13,883,,,,,,,12,949,610,,,,,,,15,1013,690,,,,,,,15,765,868,,,,,,
93,3106.8,15,13,884,,,,,,,13,948,607,,,,,,,15,1012,688,,,,,,,15,765,868,,,,,,
94,3142.9,15,13,884,,,,,,,13,947,605,,,,,,,15,1011,686,,,,,,,15,765,868,,,,,,
95,3174.9,15,13,884,,,,,,,12,947,603,,,,,,,15,1011,683,,,,,,,14,765,868,,,,,,
