frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,145.4,15,65,881,,,,,,,12,1033,673,,,,,,,15,1073,753,,,,,,,,,,,,,,,,14,814,868,,,,,,
1,145.4,15,65,881,,,,,,,13,1033,674,,,,,,,15,1073,753,,,,,,,,,,,,,,,,14,814,868,,,,,,
2,306.2,15,64,881,,,,,,,12,1033,673,,,,,,,15,1073,753,,,,,,,,,,,,,,,,14,814,867,,,,,,
3,332.7,15,65,881,,,,,,,14,1033,673,,,,,,,15,1073,753,,,,,,,,,,,,,,,,15,814,867,,,,,,
4,361.2,15,66,881,,,,,,,14,1034,674,,,,,,,15,1074,755,,,,,,,,,,,,,,,,14,814,867,,,,,,
5,373.5,15,65,881,,,,,,,14,1033,674,,,,,,,15,1073,754,,,,,,,,,,,,,,,,14,814,868,,,,,,
6,385.0,15,65,880,,,,,,,14,1033,672,,,,,,,15,1073,753,,,,,,,,,,,,,,,,15,814,866,,,,,,
7,408.0,15,65,881,,,,,,,14,1033,672,,,,,,,15,1073,753,,,,,,,,,,,,,,,,14,814,867,,,,,,
8,408.0,15,65,881,,,,,,,14,1033,673,,,,,,,15,1073,753,,,,,,,,,,,,,,,,14,814,868,,,,,,
9,421.8,15,65,881,,,,,,,14,1033,673,,,,,,,15,1074,753,,,,,,,,,,,,,,,,14,814,867,,,,,,
10,434.0,15,65,881,,,,,,,14,1033,673,,,,,,,15,1073,753,,,,,,,,,,,,,,,,15,814,867,,,,,,
11,451.7,15,65,881,,,,,,,14,1033,673,,,,,,,15,1073,754,,,,,,,,,,,,,,,,14,814,868,,,,,,
12,465.4,15,66,881,,,,,,,14,1033,673,,,,,,,15,1074,753,,,,,,,,,,,,,,,,15,814,868,,,,,,
