frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,159.5,15,65,881,,,,,,,12,868,252,,,,,,,14,911,338,,,,,,,20,951,71,,,,,,,14,812,866,,,,,,
1,159.5,15,65,880,,,,,,,12,869,252,,,,,,,14,912,337,,,,,,,13,886,152,,,,,,,14,813,866,,,,,,
2,312.1,15,65,880,,,,,,,12,870,252,,,,,,,14,912,338,,,,,,,10,886,152,,,,,,,14,812,866,,,,,,
3,335.5,15,65,880,,,,,,,12,870,251,,,,,,,14,912,339,,,,,,,8,892,144,,,,,,,14,813,866,,,,,,
4,358.6,15,65,880,,,,,,,12,870,251,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
5,385.0,15,65,880,,,,,,,13,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,813,866,,,,,,
6,385.0,15,65,880,,,,,,,12,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
7,395.2,15,65,880,,,,,,,12,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
8,407.3,15,65,880,,,,,,,12,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
9,417.7,15,65,880,,,,,,,12,871,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
10,427.4,15,65,880,,,,,,,12,871,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
11,437.9,15,65,880,,,,,,,12,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
12,458.8,15,65,880,,,,,,,12,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,865,,,,,,
13,476.0,15,65,880,,,,,,,12,871,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,813,865,,,,,,
14,503.8,15,65,880,,,,,,,12,871,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,865,,,,,,
15,603.5,15,65,880,,,,,,,12,871,250,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
16,603.5,15,65,880,,,,,,,12,871,250,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
17,632.9,15,65,880,,,,,,,12,871,250,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
18,632.9,15,65,881,,,,,,,12,871,250,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
19,692.7,15,65,880,,,,,,,12,871,250,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
20,734.7,15,65,880,,,,,,,12,871,250,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
21,752.3,15,66,881,,,,,,,12,871,250,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
22,774.4,15,65,880,,,,,,,12,871,249,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,865,,,,,,
23,774.4,15,65,880,,,,,,,12,870,249,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
24,804.2,15,65,880,,,,,,,12,870,250,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,813,866,,,,,,
25,839.3,15,66,881,,,,,,,12,870,250,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
26,871.6,15,65,881,,,,,,,13,870,251,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
27,903.2,15,65,880,,,,,,,13,870,252,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
28,939.6,15,65,880,,,,,,,13,870,253,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
29,971.4,15,66,881,,,,,,,13,870,254,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
30,1003.3,15,65,880,,,,,,,12,870,254,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
31,1039.3,15,65,880,,,,,,,13,870,255,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
32,1071.3,15,65,880,,,,,,,13,870,255,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
33,1103.5,15,65,880,,,,,,,12,869,255,,,,,,,14,912,338,,,,,,,5,892,149,,,,,,,14,812,865,,,,,,
34,1139.4,15,66,881,,,,,,,13,869,256,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
35,1171.8,15,65,880,,,,,,,13,869,257,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
36,1203.4,15,65,880,,,,,,,12,868,258,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
37,1239.0,15,65,881,,,,,,,12,868,260,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
38,1271.5,15,65,880,,,,,,,12,869,261,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
39,1303.5,15,65,880,,,,,,,13,869,262,,,,,,,14,912,338,,,,,,,9,888,159,,,,,,,14,812,866,,,,,,
40,1339.1,15,65,880,,,,,,,12,869,263,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,865,,,,,,
41,1374.0,15,65,880,,,,,,,12,869,264,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,865,,,,,,
42,1403.5,15,65,880,,,,,,,13,869,265,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
43,1439.2,15,65,880,,,,,,,13,869,265,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,813,866,,,,,,
44,1471.5,15,65,881,,,,,,,12,868,265,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
45,1510.0,15,65,880,,,,,,,13,868,265,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
46,1538.7,15,65,880,,,,,,,13,868,266,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
47,1571.1,15,65,880,,,,,,,13,868,266,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
48,1603.2,15,65,880,,,,,,,12,868,267,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,865,,,,,,
49,1640.4,15,65,880,,,,,,,13,867,269,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,813,866,,,,,,
50,1671.7,15,66,880,,,,,,,12,866,270,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,865,,,,,,
51,1703.4,15,66,881,,,,,,,12,865,272,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
52,1739.3,15,65,880,,,,,,,12,863,274,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
53,1771.2,15,65,880,,,,,,,13,862,277,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
54,1803.3,15,65,881,,,,,,,12,861,279,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,813,866,,,,,,
55,1839.0,15,66,881,,,,,,,12,859,282,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
56,1872.4,15,65,880,,,,,,,13,858,284,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
57,1905.7,15,65,880,,,,,,,12,856,286,,,,,,,14,912,339,,,,,,,5,870,191,,,,,,,14,813,866,,,,,,
58,1939.1,15,66,881,,,,,,,12,854,287,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
59,1971.6,15,65,880,,,,,,,13,852,288,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,813,866,,,,,,
60,2003.2,15,65,880,,,,,,,13,851,289,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
61,2039.1,15,65,880,,,,,,,13,849,290,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
62,2071.0,15,66,881,,,,,,,12,848,291,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,813,866,,,,,,
63,2103.2,15,65,880,,,,,,,13,847,292,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
64,2139.2,15,65,880,,,,,,,13,845,293,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
65,2171.3,15,65,880,,,,,,,13,845,295,,,,,,,14,912,339,,,,,,,6,861,200,,,,,,,14,812,866,,,,,,
66,2203.1,15,66,881,,,,,,,13,844,297,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
67,2239.3,15,65,880,,,,,,,13,842,299,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
68,2271.3,15,65,880,,,,,,,13,840,300,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
69,2303.2,15,65,880,,,,,,,13,837,302,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
70,2340.0,15,65,880,,,,,,,13,834,304,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,813,866,,,,,,
71,2371.7,15,65,880,,,,,,,13,829,308,,,,,,,14,914,340,,,,,,,,,,,,,,,,14,813,866,,,,,,
72,2404.0,15,65,881,,,,,,,13,821,313,,,,,,,14,914,340,,,,,,,,,,,,,,,,14,813,866,,,,,,
73,2439.4,15,65,881,,,,,,,12,812,319,,,,,,,14,913,340,,,,,,,6,865,160,,,,,,,14,812,866,,,,,,
74,2471.2,15,65,880,,,,,,,12,801,326,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
75,2503.4,15,65,880,,,,,,,12,788,334,,,,,,,14,913,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
