frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,149.2,12,969,804,75.6582039695179,62.77522806139565,,,,,45,106,992,8.276336037945198,77.45401273246827,,,,
1,149.2,12,970,804,75.7362826113853,62.77522806139565,,,,,39,102,999,7.964021470475568,78.00056322554012,,,,
2,308.1,12,969,804,75.6582039695179,62.77522806139565,,,,,45,107,992,8.354414679812605,77.45401273246827,,,,
3,335.9,11,970,804,75.7362826113853,62.77522806139565,0.08609554211697389,1.2810868626894174,-3.557667029627018,13.723480050234787,41,885,988,69.09959805265567,77.14169816499863,-934.7414993140096,13.747573321115913,-13503.184015363166,165.1889486710939
4,355.7,11,970,804,75.7362826113853,62.77522806139565,0.0,1.5362576912379944,0.0,14.879009116106484,54,22,989,1.7177301210829656,77.21977680686604,122.37677150218273,20.86603056851071,1478.209741024141,238.7126256739053
5,369.6,11,970,805,75.7362826113853,62.85330670326306,-0.5762593645290961,-0.5762593645290961,-60.02701713844737,-60.02701713844737,37,103,1001,8.042100112342975,78.15672050927493,-3.1631028494918447,2.469062149889622,62.28236749336022,-291.28717276142515
6,384.3,11,970,805,75.7362826113853,62.85330670326306,0.0,-0.3535213399288273,0.0,-81.26927354685643,39,103,999,8.042100112342975,78.00056322554012,-564.149037852512,2.5940626310415174,28816.922092284538,-626.0778201617711
7,397.9,11,970,805,75.7362826113853,62.85330670326306,0.0,0.9305505802026015,0.0,-43.58550726944265,36,105,1003,8.198257396077791,78.31287779300975,75.41792731921201,9.392166447627499,-3703.747380027494,-782.4976550996503
8,411.9,11,969,804,75.6582039695179,62.77522806139565,-0.14105693710754372,-0.14105693710754372,80.60396406145222,80.60396406145222,39,102,999,7.964021470475568,78.00056322554012,-0.14105693710754533,-1.919161171099487,80.60396406145314,83.80616467683346
9,424.0,11,970,804,75.7362826113853,62.77522806139565,0.0,-1.110590960761483,0.0,43.12974604898964,45,107,994,8.354414679812605,77.61017001620309,2.4624698202201554,-3.573060780981628,-272.26175612673046,315.39150217571836
10,440.6,11,970,805,75.7362826113853,62.85330670326306,0.0,-0.7682391128819418,0.0,-35.983096622104966,39,103,999,8.042100112342975,78.00056322554012,-1.933488916176221,-3.866977832352398,80.73022614514495,161.4604522902881
11,457.7,11,970,805,75.7362826113853,62.85330670326306,0.8333604262009757,-0.07784355433332021,-38.052987497761436,-77.8435543333202,39,103,999,8.042100112342975,78.00056322554012,-0.9890475348676275,1.822407961068592,-117.63412116888028,79.58113367111753
12,475.5,11,970,804,75.7362826113853,62.77522806139565,-1.0491593408646416,0.0,-40.74405207241327,0.0,41,104,997,8.120178754210382,77.8444059418053,-4.12249505588643,4.122495055886403,16.53496482162033,-16.534964821620033
13,488.5,11,970,804,75.7362826113853,62.77522806139565,0.0,-0.8397646224529453,0.0,32.9966452830234,39,103,999,8.042100112342975,78.00056322554012,0.7436918752831206,-1.4873837505662413,31.051852830192942,-62.103705660385884
14,501.5,11,970,804,75.7362826113853,62.77522806139565,-0.4302973985694381,-1.0959099019955056,-19.648283039700363,31.35650649486426,38,101,1001,7.88594282860816,78.15672050927493,-1.33122500685215,1.331225006852135,102.00957906913041,-102.00957906912923
15,516.8,11,969,804,75.6582039695179,62.77522806139565,-1.2985707040492327,0.0,28.66601995693669,0.0,39,102,999,7.964021470475568,78.00056322554012,-2.057457704121134,1.5177740001437803,83.46684398057327,-109.60164804727223
16,539.4,11,970,804,75.7362826113853,62.77522806139565,0.0,0.0,0.0,0.0,41,104,997,8.120178754210382,77.8444059418053,0.7609056697381953,-1.0037265036932075,-30.375475837852093,81.10791968290194
