frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,159.0,12,499,865,38.961242291836356,67.53802521530751,,,,,56,518,982,40.4447364873171,76.67322631379419,,,,
1,159.0,12,499,865,38.961242291836356,67.53802521530751,,,,,54,518,985,40.4447364873171,76.90746223939641,,,,
2,322.1,12,499,865,38.961242291836356,67.53802521530751,,,,,53,518,986,40.4447364873171,76.98554088126382,,,,
3,349.7,11,499,865,38.961242291836356,67.53802521530751,0.0,0.0,0.0,0.0,51,515,988,40.21050056171487,77.14169816499863,-45.22633798366887,-5.739161631230526,-461.43725874470846,-85.95440331360561
4,372.8,11,499,864,38.961242291836356,67.4599465734401,0.0,1.689506331580194,0.0,19.220777378614265,35,515,1000,40.21050056171487,78.07864186740753,5.068518994740735,-27.087214098243535,57.662332135844544,-304.6317647441409
5,386.9,11,499,864,38.961242291836356,67.4599465734401,0.0,-0.42020734425197337,0.0,24.219443472736188,59,478,981,37.3215908126208,76.59514767192678,-15.342898785644534,-0.6356417368253151,1014.0059791697821,166.32545762400665
6,399.3,11,499,865,38.961242291836356,67.53802521530751,0.0,-1.4207574424474945,0.0,-57.28860655030218,58,479,983,37.399669454488205,76.7513049556616,32.76899054579492,-3.144520793008016,3606.4101833198592,190.57701775806157
7,410.8,11,499,865,38.961242291836356,67.53802521530751,0.0,-0.3113183487536157,0.0,-124.52733950144635,54,518,984,40.4447364873171,76.829383597529,-47.787805010227956,-19.078991536573884,-2839.574121871038,726.117162726754
8,421.6,11,499,864,38.961242291836356,67.4599465734401,0.0,0.0,0.0,0.0,59,479,982,37.399669454488205,76.67322631379419,48.60495411111616,-2.5595090539168166,2671.7492310181497,-277.211181952047
9,432.3,11,499,864,38.961242291836356,67.4599465734401,0.0,-1.193667470536386,0.0,71.05163515097544,56,518,983,40.4447364873171,76.7513049556616,-224.02999260238497,-231.43484176431562,-19169.984919573184,-14026.354046322158
10,443.8,11,499,864,38.961242291836356,67.4599465734401,0.0,-0.5955287052348065,0.0,107.30246941167721,59,478,981,37.3215908126208,76.59514767192678,-201.90358309583615,-154.10390276325836,-6500.776065135521,-8909.445115859144
11,454.5,11,499,864,38.961242291836356,67.4599465734401,0.0,0.0,0.0,0.0,60,518,979,40.4447364873171,76.43899038819197,46.62661609818372,-3.5866627767833297,-2792.0129400110027,214.7702261546905
12,465.9,11,499,864,38.961242291836356,67.4599465734401,0.0,0.0,0.0,0.0,13,283,782,22.09625564847633,61.057497940312686,-310.244083224983,-265.35770522647476,14038.193811085192,12007.135983098393
13,487.9,11,499,865,38.961242291836356,67.53802521530751,0.0,0.3456980104859812,0.0,-64.6164505581267,13,283,783,22.09625564847633,61.13557658218009,-41.36290432177397,-69.71885035539523,13781.532472122477,12736.431619617115
14,487.9,11,499,864,38.961242291836356,67.4599465734401,0.0,0.0,0.0,0.0,60,518,979,40.4447364873171,76.43899038819197,-59.32553090115019,-49.73246632990036,-3552.4270000688757,-2977.9919958024184
15,510.1,11,499,864,38.961242291836356,67.4599465734401,0.0,0.0,0.0,0.0,13,283,782,22.09625564847633,61.057497940312686,56.480854996345485,47.147154382542624,2555.694796214725,2133.355401925003
16,542.7,11,499,864,38.961242291836356,67.4599465734401,0.0,-0.9187743170010751,0.0,18.467825467358292,60,519,979,40.52281512918451,76.43899038819197,151.05953284445096,125.17753064213807,-6758.815787223766,-5623.425013867734
17,574.2,11,499,864,38.961242291836356,67.4599465734401,0.0,0.0,0.0,0.0,13,283,782,22.09625564847633,61.057497940312686,-114.07096842006881,-95.62545012235553,2283.7030714728494,1914.423425872984
