frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,155.0,11,218,535,17.02114392709484,41.772073399063025,,,,,12,895,548,69.88038447132973,42.78709574333932,,,,
1,155.0,11,218,535,17.02114392709484,41.772073399063025,,,,,12,895,548,69.88038447132973,42.78709574333932,,,,
2,311.3,11,218,535,17.02114392709484,41.772073399063025,,,,,12,895,548,69.88038447132973,42.78709574333932,,,,
3,339.0,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,22,195,655,15.225335164144468,51.14151042315193,633.4756219305634,28.102766193525838,10114.281884594102,-188.0615371103409
4,365.6,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,12,894,548,69.80230582946233,42.78709574333932,4.363282593310521,184.46306172635644,44.95751549719575,1751.785961313926
5,383.8,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,27,896,676,69.95846311319714,52.78116190236749,1.678449487047482,45.612788889552014,16.59317800467465,-2544.452400298938
6,397.8,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,31,896,672,69.95846311319714,52.46884733489786,360.69875986833165,10.032899874585,-19392.406444533965,-426.55976625499363
7,409.4,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,28,897,673,70.03654175506455,52.546925976765266,2.466721486484829,108.38866302549923,-131.55847927919086,-5225.50279696951
8,422.8,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,29,897,674,70.03654175506455,52.62500461863267,-1.252493055091663,-3.0424732873683245,-166.89792375540006,49.31075020045904
9,435.0,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,29,896,673,69.95846311319714,52.546925976765266,1.0665854426658097,2.1103568829159456,57.34330336912957,0.6165946598830804
10,446.9,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,897,678,70.03654175506455,52.9373191861023,-24.23130264850579,55.79610006682384,-1292.336141253642,2420.5661058401565
11,459.2,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,29,895,673,69.88038447132973,52.546925976765266,0.7805557682307449,3.867098648079017,278.60390305882913,330.33605943950505
12,471.8,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,29,897,674,70.03654175506455,52.62500461863267,2.208897991295372,3.3973439958371356,4.738900360737858,69.32835712931198
13,481.9,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,23,876,722,68.39689027584899,56.37277942826823,-13.235318543299211,22.141659991537335,1920.6780901225895,-4343.676967285101
14,497.5,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,26,898,678,70.11462039693195,52.9373191861023,3.3727715016815414,5.469422903080369,-143.24015718672487,-246.66377458303754
15,505.9,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,27,898,676,70.11462039693195,52.78116190236749,-4.095941005014161,14.284916605013658,-374.5241787366639,569.2389513267898
16,529.7,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,31,896,672,69.95846311319714,52.46884733489786,22.376093236570505,-53.8046175080125,-430.6608608393395,1166.0084526595879
17,561.6,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,27,897,676,70.03654175506455,52.78116190236749,-0.12975304946095248,-1.1774201962503235,33.95701986558627,39.273974291908324
18,593.5,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,20,875,720,68.31881163398158,56.21662214453342,-3.271190338886861,3.7692133494019435,393.35410262084883,-809.3235005416689
19,630.0,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,26,897,678,70.03654175506455,52.9373191861023,1.0430357956630036,2.5028588629979716,5.275867002699252,-43.22726879098398
20,661.4,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,899,677,70.19269903879936,52.85924054423489,0.2601301137214117,1.019789191612985,-26.143730022252317,4.75827796988145
21,693.5,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,30,896,673,69.95846311319714,52.546925976765266,8.609682712730615,-16.855745206595827,-155.7366415884994,396.82432942171374
22,745.8,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,899,678,70.19269903879936,52.9373191861023,0.5645863880168116,-0.544233693060353,-13.539241918868372,-9.399545648710765
23,781.1,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,23,897,679,70.03654175506455,53.01539782796971,0.05815784171739048,-0.6401013928711022,22.76908888601136,-32.492456490918826
24,794.1,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,897,677,70.03654175506455,52.85924054423489,1.1700258799607781,1.5476164323611046,7.830939147747191,-30.95232864722209
25,829.2,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,899,677,70.19269903879936,52.85924054423489,-0.34750285674484377,-0.5136912733031136,-8.33340184040392,10.131977777181731
26,861.4,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,26,898,677,70.11462039693195,52.85924054423489,-1.5471393259461539,-0.7308386171859214,-62.75158372196517,30.232500717199795
27,894.1,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,26,899,677,70.19269903879936,52.85924054423489,-9.054628691606542,16.913548193592142,-212.32403057909355,338.2709638718428
28,930.6,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,898,677,70.11462039693195,52.85924054423489,-1.1835939536504283,0.4020880635929675,-8.157546816510967,7.930731037336638
29,961.4,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,25,892,678,69.64614854572751,52.9373191861023,0.00938821345098779,-0.3931318298273667,93.88213450990798,-23.478364970028707
30,993.6,11,218,535,17.02114392709484,41.772073399063025,0.0,0.0,0.0,0.0,19,874,720,68.24073299211418,56.21662214453342,-0.9132682631038893,0.9235491711574577,375.9694663278904,-659.677979398168
