frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
3,337.3,,,,,,,,,,8,597,5,46.612949194842294,0.39039320933703764,,,,
4,369.5,,,,,,,,,,8,597,5,46.612949194842294,0.39039320933703764,,,,
29,972.8,,,,,,,,,,6,597,4,46.612949194842294,0.3123145674696301,,,,
30,1004.9,,,,,,,,,,6,597,3,46.612949194842294,0.2342359256022226,,,,
32,1072.6,,,,,,,,,,6,597,3,46.612949194842294,0.2342359256022226,0.3894179086729773,-0.3917626173270755,7.8039661056708916,7.827424921619881
34,1140.5,,,,,,,,,,6,598,3,46.6910278367097,0.2342359256022226,,,,
35,1172.7,,,,,,,,,,6,598,3,46.6910278367097,0.2342359256022226,,,,
37,1240.4,,,,,,,,,,6,598,3,46.6910278367097,0.2342359256022226,-0.38384026074149324,-0.3838402607414965,-7.684489704534394,-7.6844897045344585
40,1341.5,,,,,,,,,,6,597,2,46.612949194842294,0.15615728373481505,,,,
41,1372.9,,,,,,,,,,7,598,4,46.6910278367097,0.3123145674696301,,,,
42,1405.0,,,,,,,,,,6,598,3,46.6910278367097,0.2342359256022226,,,,
44,1477.0,,,,,,,,,,6,597,3,46.612949194842294,0.2342359256022226,,,,
45,1509.5,,,,,,,,,,6,597,4,46.612949194842294,0.3123145674696301,-0.356184358153361,0.35618435815336397,7.482864667087412,-7.482864667087473
48,1604.7,,,,,,,,,,6,597,4,46.612949194842294,0.3123145674696301,0.373419676810981,0.0,7.844951193508,0.0
50,1672.7,,,,,,,,,,7,598,4,46.6910278367097,0.3123145674696301,,,,
51,1706.0,,,,,,,,,,7,598,4,46.6910278367097,0.3123145674696301,-0.017110859742450014,0.0,-15.555327038590548,0.0
52,1740.5,,,,,,,,,,6,597,3,46.612949194842294,0.2342359256022226,,,,
53,1772.8,,,,,,,,,,7,597,4,46.612949194842294,0.3123145674696301,-0.38941790867297854,-0.39176261732707507,7.803966105670917,-7.827424921619889
54,1805.1,,,,,,,,,,7,597,4,46.612949194842294,0.3123145674696301,-0.005526193588711867,-0.38979887422205195,15.78912453917053,-7.866778490858775
55,1840.7,,,,,,,,,,6,598,3,46.6910278367097,0.2342359256022226,,,,
56,1872.6,,,,,,,,,,6,597,3,46.612949194842294,0.2342359256022226,0.0,-0.001564702241832207,0.0,15.647022418318144
57,1904.9,,,,,,,,,,6,598,3,46.6910278367097,0.2342359256022226,0.0046754051050726265,-0.00467540510507268,-15.584683683583668,15.584683683583796
59,1972.6,,,,,,,,,,6,597,4,46.612949194842294,0.3123145674696301,,,,
60,2005.3,,,,,,,,,,6,597,4,46.612949194842294,0.3123145674696301,-0.3880617344365409,-0.0031107028632404846,7.7612346887307995,-15.55351431621662
