frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,145.3,15,65,882,,,,,,,12,1025,690,,,,,,,15,1079,755,,,,,,,,,,,,,,,,14,817,866,,,,,,
1,145.3,15,65,882,,,,,,,12,1025,689,,,,,,,15,1078,754,,,,,,,,,,,,,,,,14,817,866,,,,,,
2,301.1,14,65,882,,,,,,,12,1025,688,,,,,,,15,1079,753,,,,,,,,,,,,,,,,14,817,866,,,,,,
3,329.3,15,65,882,,,,,,,13,1025,689,,,,,,,15,1078,755,,,,,,,,,,,,,,,,15,817,866,,,,,,
4,357.1,15,65,882,,,,,,,13,1026,690,,,,,,,15,1079,755,,,,,,,,,,,,,,,,15,817,866,,,,,,
5,367.2,15,65,882,,,,,,,13,1026,690,,,,,,,15,1079,756,,,,,,,,,,,,,,,,15,817,866,,,,,,
6,378.3,15,65,882,,,,,,,13,1026,690,,,,,,,15,1079,756,,,,,,,,,,,,,,,,15,818,866,,,,,,
7,389.2,15,65,882,,,,,,,13,1026,690,,,,,,,15,1079,756,,,,,,,,,,,,,,,,15,817,866,,,,,,
8,408.6,15,65,882,,,,,,,13,1026,690,,,,,,,15,1079,757,,,,,,,,,,,,,,,,15,817,866,,,,,,
9,417.4,15,66,882,,,,,,,13,1026,690,,,,,,,15,1079,756,,,,,,,,,,,,,,,,15,818,866,,,,,,
10,427.7,15,65,882,,,,,,,13,1026,690,,,,,,,15,1078,757,,,,,,,,,,,,,,,,15,817,866,,,,,,
