frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,145.6,15,64,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,19,990,139,,,,,,,14,811,866,,,,,,
1,145.6,15,63,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,34,895,226,,,,,,,14,811,866,,,,,,
2,310.1,15,64,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,6,986,140,,,,,,,14,812,866,,,,,,
3,326.9,15,64,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,11,923,185,,,,,,,9,811,859,,,,,,
4,352.7,15,64,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,11,812,861,,,,,,
5,365.6,15,63,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,10,892,228,,,,,,,12,810,863,,,,,,
6,380.6,15,63,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,18,896,224,,,,,,,12,810,863,,,,,,
7,391.0,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,18,897,222,,,,,,,12,810,862,,,,,,
8,402.7,15,63,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,18,921,186,,,,,,,11,811,861,,,,,,
9,414.2,15,63,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,7,890,229,,,,,,,12,810,862,,,,,,
10,425.3,15,64,880,,,,,,,,,,,,,,,,13,912,339,,,,,,,19,892,219,,,,,,,11,811,862,,,,,,
11,436.0,15,64,880,,,,,,,,,,,,,,,,13,912,339,,,,,,,9,891,229,,,,,,,11,811,861,,,,,,
12,447.1,15,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,17,892,219,,,,,,,11,811,861,,,,,,
13,479.1,15,63,880,,,,,,,,,,,,,,,,13,912,339,,,,,,,8,890,230,,,,,,,12,811,864,,,,,,
14,506.0,15,64,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,12,811,863,,,,,,
15,576.4,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,7,890,229,,,,,,,12,810,863,,,,,,
16,604.7,15,63,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,6,905,214,,,,,,,12,810,862,,,,,,
17,625.0,15,63,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,,,,,,,,,,13,811,864,,,,,,
18,659.5,15,64,880,,,,,,,,,,,,,,,,13,912,339,,,,,,,6,892,227,,,,,,,12,810,863,,,,,,
19,675.5,14,64,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,5,892,226,,,,,,,12,811,863,,,,,,
20,675.5,15,63,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,16,896,224,,,,,,,13,810,864,,,,,,
21,706.1,15,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,11,925,185,,,,,,,13,811,864,,,,,,
22,741.7,15,64,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,6,896,225,,,,,,,13,811,864,,,,,,
23,774.1,15,64,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,9,924,185,,,,,,,13,811,866,,,,,,
24,805.9,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,6,890,229,,,,,,,14,811,866,,,,,,
25,841.9,15,63,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,10,893,227,,,,,,,12,810,864,,,,,,
26,876.7,15,63,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,13,895,222,,,,,,,13,811,864,,,,,,
27,906.0,15,63,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,5,928,179,,,,,,,12,811,864,,,,,,
28,941.4,15,64,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,7,928,181,,,,,,,14,811,866,,,,,,
29,974.0,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,5,891,228,,,,,,,13,811,866,,,,,,
30,1005.8,15,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,,,,,,,,,,13,811,865,,,,,,
31,1041.7,15,64,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
32,1075.9,15,64,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,10,925,184,,,,,,,14,811,866,,,,,,
33,1106.4,15,63,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,12,894,220,,,,,,,13,811,866,,,,,,
34,1141.7,15,64,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,17,898,221,,,,,,,14,810,866,,,,,,
35,1173.9,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,6,893,227,,,,,,,14,811,866,,,,,,
36,1206.0,15,64,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,7,927,180,,,,,,,13,811,865,,,,,,
37,1241.7,14,63,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,7,923,185,,,,,,,14,811,866,,,,,,
38,1273.7,14,64,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,,,,,,,,,,13,811,866,,,,,,
39,1306.0,15,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,,,,,,,,,,13,811,866,,,,,,
40,1341.7,15,63,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,12,924,184,,,,,,,14,811,866,,,,,,
41,1373.8,15,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,8,892,228,,,,,,,13,811,865,,,,,,
42,1406.8,15,64,880,,,,,,,,,,,,,,,,13,912,339,,,,,,,11,891,229,,,,,,,14,811,866,,,,,,
43,1441.8,15,64,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,5,925,183,,,,,,,14,811,866,,,,,,
44,1473.7,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,,,,,,,,,,13,811,865,,,,,,
45,1506.2,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,11,924,184,,,,,,,14,811,866,,,,,,
46,1542.5,15,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,14,894,224,,,,,,,14,811,866,,,,,,
47,1577.1,15,64,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,8,901,210,,,,,,,14,811,866,,,,,,
48,1606.0,14,64,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,7,889,230,,,,,,,14,811,866,,,,,,
49,1642.0,15,63,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,,,,,,,,,,13,811,866,,,,,,
50,1678.9,15,63,881,,,,,,,,,,,,,,,,13,912,339,,,,,,,5,892,225,,,,,,,14,811,866,,,,,,
51,1706.2,15,64,881,,,,,,,8,868,315,,,,,,,13,912,339,,,,,,,12,925,180,,,,,,,14,811,866,,,,,,
52,1741.5,15,64,881,,,,,,,11,868,315,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
53,1773.7,15,64,880,,,,,,,12,860,320,,,,,,,14,912,338,,,,,,,11,925,171,,,,,,,14,811,866,,,,,,
54,1806.0,15,63,881,,,,,,,12,850,327,,,,,,,13,912,339,,,,,,,6,949,143,,,,,,,14,811,866,,,,,,
55,1841.4,15,63,881,,,,,,,12,836,336,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
56,1881.1,15,64,881,,,,,,,12,820,346,,,,,,,13,912,339,,,,,,,,,,,,,,,,13,811,866,,,,,,
57,1905.9,15,64,881,,,,,,,12,800,358,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
58,1948.1,15,63,881,,,,,,,12,779,372,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
59,1977.0,15,63,881,,,,,,,12,756,387,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
60,2006.1,14,64,881,,,,,,,12,730,403,,,,,,,13,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
61,2041.6,14,63,881,,,,,,,12,703,420,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
62,2074.4,14,63,881,,,,,,,11,673,439,,,,,,,13,911,338,,,,,,,11,950,114,,,,,,,14,811,865,,,,,,
