frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,154.9,15,64,880,,,,,,,12,864,278,,,,,,,14,911,338,,,,,,,48,995,146,,,,,,,14,812,866,,,,,,
1,154.9,15,65,880,,,,,,,12,864,278,,,,,,,14,912,338,,,,,,,43,999,147,,,,,,,14,812,866,,,,,,
2,325.6,15,64,881,,,,,,,13,864,279,,,,,,,14,912,338,,,,,,,26,982,149,,,,,,,14,812,866,,,,,,
3,342.8,15,64,881,,,,,,,12,863,280,,,,,,,14,911,338,,,,,,,12,951,190,,,,,,,14,811,867,,,,,,
4,370.6,15,64,881,,,,,,,12,862,280,,,,,,,14,912,339,,,,,,,7,956,188,,,,,,,14,812,867,,,,,,
5,381.8,15,65,881,,,,,,,12,861,279,,,,,,,14,912,339,,,,,,,10,953,189,,,,,,,14,812,867,,,,,,
6,393.9,15,64,881,,,,,,,12,860,279,,,,,,,14,912,338,,,,,,,17,987,148,,,,,,,14,812,867,,,,,,
7,410.6,15,64,881,,,,,,,12,859,280,,,,,,,14,911,338,,,,,,,17,986,149,,,,,,,14,812,866,,,,,,
8,435.1,15,65,880,,,,,,,13,858,281,,,,,,,14,912,338,,,,,,,13,949,192,,,,,,,14,812,866,,,,,,
9,448.7,15,65,880,,,,,,,13,858,281,,,,,,,14,912,338,,,,,,,12,971,151,,,,,,,14,812,866,,,,,,
10,482.7,15,64,881,,,,,,,13,858,281,,,,,,,14,912,338,,,,,,,11,977,151,,,,,,,14,811,866,,,,,,
11,506.1,15,64,881,,,,,,,13,858,282,,,,,,,14,912,338,,,,,,,8,952,192,,,,,,,14,812,866,,,,,,
12,523.1,15,64,881,,,,,,,13,859,282,,,,,,,14,912,338,,,,,,,8,953,192,,,,,,,14,812,867,,,,,,
13,523.1,15,64,881,,,,,,,12,859,282,,,,,,,14,912,339,,,,,,,8,1022,148,,,,,,,14,812,867,,,,,,
14,538.4,15,64,881,,,,,,,12,859,282,,,,,,,14,912,339,,,,,,,10,952,193,,,,,,,14,812,867,,,,,,
15,559.8,15,64,881,,,,,,,12,859,282,,,,,,,14,911,339,,,,,,,10,950,193,,,,,,,14,812,866,,,,,,
16,578.3,15,64,881,,,,,,,13,859,282,,,,,,,14,911,338,,,,,,,6,976,152,,,,,,,14,812,866,,,,,,
17,596.5,15,65,880,,,,,,,12,859,283,,,,,,,13,912,338,,,,,,,22,984,152,,,,,,,14,812,866,,,,,,
18,609.6,15,65,880,,,,,,,13,859,283,,,,,,,14,912,338,,,,,,,9,956,193,,,,,,,14,812,866,,,,,,
19,642.6,15,64,881,,,,,,,12,859,284,,,,,,,14,912,338,,,,,,,11,950,196,,,,,,,14,812,866,,,,,,
20,674.8,15,64,881,,,,,,,12,859,285,,,,,,,14,912,339,,,,,,,17,971,154,,,,,,,14,812,867,,,,,,
