frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
42,1410.2,15,64,880,,,,,,,12,858,290,,,,,,,14,913,339,,,,,,,13,992,154,,,,,,,14,812,866,,,,,,
43,1442.8,15,64,880,,,,,,,13,858,290,,,,,,,13,913,339,,,,,,,15,991,154,,,,,,,14,812,866,,,,,,
44,1478.0,15,64,880,,,,,,,12,858,290,,,,,,,14,913,340,,,,,,,11,996,155,,,,,,,14,812,866,,,,,,
45,1514.0,15,64,880,,,,,,,12,858,290,,,,,,,14,913,339,,,,,,,32,1001,161,,,,,,,14,812,866,,,,,,
46,1542.6,15,64,880,,,,,,,12,858,290,,,,,,,14,913,339,,,,,,,24,999,156,,,,,,,14,812,866,,,,,,
47,1578.2,15,64,880,,,,,,,13,858,290,,,,,,,14,913,339,,,,,,,17,1048,150,,,,,,,14,812,866,,,,,,
48,1619.1,15,64,881,,,,,,,12,857,291,,,,,,,14,913,339,,,,,,,16,992,149,,,,,,,14,812,866,,,,,,
49,1642.5,15,65,881,,,,,,,12,855,292,,,,,,,14,913,340,,,,,,,,,,,,,,,,14,812,866,,,,,,
50,1678.1,15,65,880,,,,,,,12,851,295,,,,,,,14,913,339,,,,,,,6,963,169,,,,,,,14,812,866,,,,,,
51,1710.4,15,64,881,,,,,,,13,846,298,,,,,,,14,913,340,,,,,,,,,,,,,,,,14,811,866,,,,,,
52,1742.2,15,64,881,,,,,,,12,839,302,,,,,,,14,913,340,,,,,,,7,1040,98,,,,,,,14,812,866,,,,,,
53,1778.3,15,64,880,,,,,,,12,832,306,,,,,,,14,913,339,,,,,,,7,1057,83,,,,,,,14,812,866,,,,,,
54,1810.3,15,65,880,,,,,,,12,823,311,,,,,,,14,913,339,,,,,,,7,1037,75,,,,,,,14,812,866,,,,,,
