frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,156.7,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,865,,,,,,
1,156.7,15,64,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
2,335.4,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,866,,,,,,
3,357.7,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
4,383.2,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
5,393.1,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,865,,,,,,
6,403.5,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
7,415.2,15,65,880,,,,,,,,,,,,,,,,14,912,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
8,425.4,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
9,435.8,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
10,447.6,15,65,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,866,,,,,,
11,457.7,15,65,881,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
12,468.0,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,866,,,,,,
13,480.6,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
14,490.8,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
15,543.3,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
16,543.3,15,65,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
17,611.5,15,64,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,865,,,,,,
18,670.5,15,65,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
19,715.3,15,65,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,866,,,,,,
20,765.5,15,65,880,,,,,,,9,874,180,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
21,785.7,15,65,881,,,,,,,10,863,207,,,,,,,14,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
22,785.7,15,65,881,,,,,,,11,853,227,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
23,802.2,15,65,881,,,,,,,11,841,244,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,866,,,,,,
24,829.4,15,65,880,,,,,,,11,831,261,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
25,860.4,15,65,880,,,,,,,11,820,270,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
26,892.5,15,65,880,,,,,,,11,814,279,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,865,,,,,,
27,915.3,15,65,880,,,,,,,12,808,287,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
28,946.5,15,65,881,,,,,,,12,805,295,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
29,991.9,15,65,881,,,,,,,12,804,302,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
30,1024.2,15,65,881,,,,,,,12,805,307,,,,,,,14,911,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
31,1047.0,15,65,880,,,,,,,12,808,311,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
32,1075.1,15,64,880,,,,,,,12,811,313,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
33,1111.0,15,65,880,,,,,,,12,813,314,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
34,1142.6,15,65,880,,,,,,,12,814,314,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
