frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,157.9,15,65,880,,,,,,,,,,,,,,,,15,1079,806,,,,,,,12,816,864,,,,,,
1,157.9,15,65,880,,,,,,,,,,,,,,,,15,1079,806,,,,,,,13,815,866,,,,,,
2,310.8,15,65,881,,,,,,,,,,,,,,,,15,1079,807,,,,,,,13,814,865,,,,,,
3,358.9,15,66,881,,,,,,,14,1054,721,,,,,,,15,1079,808,,,,,,,14,814,866,,,,,,
4,358.9,15,66,881,,,,,,,14,1054,721,,,,,,,15,1079,808,,,,,,,14,814,866,,,,,,
5,369.6,15,66,880,,,,,,,14,1054,720,,,,,,,15,1079,807,,,,,,,14,814,866,,,,,,
6,387.8,15,66,880,,,,,,,14,1053,720,,,,,,,15,1079,805,,,,,,,14,814,866,,,,,,
7,401.8,15,66,880,,,,,,,14,1053,719,,,,,,,15,1079,806,,,,,,,14,814,866,,,,,,
8,413.8,15,66,880,,,,,,,14,1053,719,,,,,,,15,1079,806,,,,,,,14,814,866,,,,,,
9,425.3,15,66,880,,,,,,,14,1053,718,,,,,,,15,1079,804,,,,,,,14,814,866,,,,,,
10,436.6,15,66,880,,,,,,,13,1053,717,,,,,,,15,1079,804,,,,,,,14,814,866,,,,,,
11,449.2,15,66,880,,,,,,,14,1053,716,,,,,,,15,1079,802,,,,,,,14,814,867,,,,,,
12,460.9,15,66,881,,,,,,,14,1053,715,,,,,,,15,1079,801,,,,,,,14,814,866,,,,,,
13,475.3,15,66,881,,,,,,,14,1052,714,,,,,,,15,1079,800,,,,,,,14,814,866,,,,,,
14,501.0,15,66,880,,,,,,,14,1052,713,,,,,,,15,1078,799,,,,,,,14,814,866,,,,,,
15,542.5,15,66,880,,,,,,,14,1052,711,,,,,,,15,1078,797,,,,,,,14,814,866,,,,,,
16,542.5,15,66,880,,,,,,,14,1052,711,,,,,,,15,1078,797,,,,,,,14,814,866,,,,,,
17,582.3,15,66,880,,,,,,,14,1052,710,,,,,,,15,1078,796,,,,,,,14,814,866,,,,,,
18,619.4,15,66,880,,,,,,,14,1051,709,,,,,,,15,1078,795,,,,,,,14,814,866,,,,,,
19,674.3,15,66,881,,,,,,,14,1052,709,,,,,,,15,1078,794,,,,,,,14,814,866,,,,,,
20,674.3,15,66,881,,,,,,,13,1052,709,,,,,,,15,1078,795,,,,,,,15,814,866,,,,,,
21,711.3,15,66,880,,,,,,,14,1052,709,,,,,,,15,1078,794,,,,,,,15,814,866,,,,,,
22,743.9,15,66,880,,,,,,,14,1051,709,,,,,,,15,1078,793,,,,,,,14,814,866,,,,,,
23,774.2,15,66,880,,,,,,,14,1051,708,,,,,,,15,1078,794,,,,,,,14,814,866,,,,,,
24,807.0,15,66,880,,,,,,,14,1051,708,,,,,,,15,1079,793,,,,,,,14,814,866,,,,,,
25,842.0,15,66,880,,,,,,,14,1051,708,,,,,,,15,1078,793,,,,,,,14,814,866,,,,,,
26,874.3,15,66,881,,,,,,,14,1051,708,,,,,,,15,1078,793,,,,,,,14,814,866,,,,,,
27,906.5,15,66,880,,,,,,,14,1051,708,,,,,,,15,1078,793,,,,,,,14,814,866,,,,,,
28,947.6,15,66,880,,,,,,,14,1051,707,,,,,,,15,1078,792,,,,,,,14,814,866,,,,,,
29,975.5,15,66,881,,,,,,,14,1051,707,,,,,,,15,1078,793,,,,,,,15,813,866,,,,,,
30,1006.7,15,66,881,,,,,,,14,1051,707,,,,,,,15,1078,791,,,,,,,14,814,866,,,,,,
31,1042.5,15,66,881,,,,,,,14,1051,706,,,,,,,15,1078,792,,,,,,,14,814,866,,,,,,
32,1074.8,15,66,880,,,,,,,14,1051,705,,,,,,,15,1078,791,,,,,,,14,814,866,,,,,,
33,1106.9,15,66,880,,,,,,,14,1051,705,,,,,,,15,1078,790,,,,,,,15,814,866,,,,,,
34,1142.5,15,66,880,,,,,,,14,1050,703,,,,,,,15,1078,789,,,,,,,14,813,866,,,,,,
35,1184.4,15,66,880,,,,,,,14,1050,702,,,,,,,15,1078,787,,,,,,,14,813,866,,,,,,
36,1215.4,15,66,880,,,,,,,14,1050,701,,,,,,,15,1077,786,,,,,,,14,813,866,,,,,,
37,1242.3,15,66,880,,,,,,,14,1049,699,,,,,,,15,1077,783,,,,,,,15,814,866,,,,,,
38,1274.4,15,66,880,,,,,,,14,1049,696,,,,,,,15,1077,781,,,,,,,14,814,866,,,,,,
39,1306.6,15,66,880,,,,,,,14,1049,694,,,,,,,15,1076,779,,,,,,,14,814,866,,,,,,
40,1342.1,15,66,881,,,,,,,14,1048,692,,,,,,,15,1076,776,,,,,,,15,814,866,,,,,,
41,1374.4,15,66,880,,,,,,,14,1048,689,,,,,,,15,1075,774,,,,,,,15,814,866,,,,,,
42,1406.8,15,66,880,,,,,,,14,1047,686,,,,,,,15,1075,771,,,,,,,14,813,866,,,,,,
43,1442.5,15,66,880,,,,,,,14,1046,684,,,,,,,15,1075,768,,,,,,,14,813,866,,,,,,
44,1476.0,15,66,880,,,,,,,14,1046,681,,,,,,,15,1074,766,,,,,,,14,813,866,,,,,,
45,1506.9,15,66,880,,,,,,,14,1045,679,,,,,,,15,1074,763,,,,,,,14,813,866,,,,,,
46,1542.1,15,66,880,,,,,,,14,1045,676,,,,,,,15,1074,759,,,,,,,14,814,866,,,,,,
47,1574.4,15,66,880,,,,,,,14,1044,673,,,,,,,15,1073,757,,,,,,,15,813,866,,,,,,
48,1606.7,15,66,881,,,,,,,14,1044,671,,,,,,,15,1073,754,,,,,,,15,814,866,,,,,,
49,1642.1,15,65,881,,,,,,,14,1043,669,,,,,,,15,1072,752,,,,,,,15,814,866,,,,,,
50,1674.9,15,66,881,,,,,,,14,1043,666,,,,,,,15,1072,750,,,,,,,15,814,866,,,,,,
51,1706.8,15,66,881,,,,,,,13,1042,664,,,,,,,15,1072,746,,,,,,,15,813,866,,,,,,
52,1741.9,15,66,880,,,,,,,14,1041,661,,,,,,,15,1071,744,,,,,,,14,813,866,,,,,,
53,1774.1,15,66,880,,,,,,,14,1041,659,,,,,,,15,1071,741,,,,,,,14,813,866,,,,,,
54,1806.3,15,66,880,,,,,,,14,1040,656,,,,,,,15,1071,739,,,,,,,15,813,866,,,,,,
55,1842.5,15,66,880,,,,,,,14,1040,654,,,,,,,15,1070,737,,,,,,,15,814,866,,,,,,
56,1874.3,15,66,881,,,,,,,14,1039,651,,,,,,,15,1069,733,,,,,,,14,813,866,,,,,,
57,1906.7,15,65,881,,,,,,,14,1038,648,,,,,,,15,1069,730,,,,,,,15,813,866,,,,,,
58,1942.1,15,66,881,,,,,,,14,1037,644,,,,,,,15,1069,725,,,,,,,15,813,866,,,,,,
59,1974.1,15,66,881,,,,,,,13,1036,641,,,,,,,15,1068,723,,,,,,,15,814,866,,,,,,
60,2006.4,15,65,881,,,,,,,14,1035,637,,,,,,,15,1067,719,,,,,,,15,814,866,,,,,,
61,2042.0,15,65,881,,,,,,,14,1035,634,,,,,,,15,1066,715,,,,,,,14,814,866,,,,,,
62,2076.3,15,65,881,,,,,,,14,1033,631,,,,,,,15,1066,711,,,,,,,15,814,866,,,,,,
63,2106.0,15,66,881,,,,,,,14,1032,626,,,,,,,15,1065,706,,,,,,,15,813,866,,,,,,
64,2142.4,15,65,881,,,,,,,14,1031,623,,,,,,,15,1064,704,,,,,,,14,813,866,,,,,,
65,2174.1,15,65,881,,,,,,,14,1030,620,,,,,,,15,1063,700,,,,,,,15,814,866,,,,,,
66,2206.4,15,66,881,,,,,,,14,1030,617,,,,,,,15,1062,697,,,,,,,15,814,866,,,,,,
67,2242.2,15,65,881,,,,,,,14,1029,613,,,,,,,15,1062,694,,,,,,,15,814,866,,,,,,
68,2274.1,15,65,881,,,,,,,14,1028,611,,,,,,,15,1061,690,,,,,,,14,814,866,,,,,,
69,2313.8,15,65,881,,,,,,,14,1027,608,,,,,,,15,1060,688,,,,,,,14,814,866,,,,,,
70,2342.3,15,65,881,,,,,,,14,1027,605,,,,,,,15,1060,685,,,,,,,14,814,866,,,,,,
71,2374.1,15,65,881,,,,,,,14,1026,603,,,,,,,15,1060,681,,,,,,,15,814,866,,,,,,
72,2406.1,15,65,881,,,,,,,14,1025,600,,,,,,,15,1059,679,,,,,,,15,814,866,,,,,,
73,2442.4,15,65,881,,,,,,,14,1023,597,,,,,,,15,1058,675,,,,,,,15,813,866,,,,,,
74,2475.4,15,66,881,,,,,,,14,1023,594,,,,,,,15,1057,673,,,,,,,15,814,866,,,,,,
75,2511.3,15,65,881,,,,,,,14,1022,590,,,,,,,15,1056,669,,,,,,,14,814,866,,,,,,
76,2542.2,15,66,881,,,,,,,13,1020,587,,,,,,,15,1055,665,,,,,,,14,814,866,,,,,,
77,2574.6,15,65,881,,,,,,,13,1019,583,,,,,,,15,1054,661,,,,,,,15,814,866,,,,,,
78,2611.3,15,65,881,,,,,,,13,1018,579,,,,,,,15,1053,657,,,,,,,14,814,866,,,,,,
79,2642.2,15,65,881,,,,,,,14,1017,575,,,,,,,15,1053,651,,,,,,,14,814,866,,,,,,
80,2674.3,15,65,881,,,,,,,14,1015,570,,,,,,,15,1051,647,,,,,,,14,814,866,,,,,,
81,2707.4,15,65,881,,,,,,,14,1013,565,,,,,,,15,1050,642,,,,,,,15,814,866,,,,,,
82,2742.0,15,65,881,,,,,,,13,1012,561,,,,,,,15,1048,637,,,,,,,15,813,866,,,,,,
83,2774.7,15,65,881,,,,,,,14,1010,556,,,,,,,15,1047,632,,,,,,,14,814,866,,,,,,
84,2806.8,15,65,881,,,,,,,14,1008,551,,,,,,,15,1045,627,,,,,,,14,813,866,,,,,,
85,2842.3,15,65,881,,,,,,,14,1006,546,,,,,,,15,1044,620,,,,,,,14,814,866,,,,,,
86,2874.8,15,65,881,,,,,,,13,1005,542,,,,,,,15,1042,616,,,,,,,14,813,866,,,,,,
