frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,152.2,15,65,880,,,,,,,12,838,298,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,812,865,,,,,,
1,152.2,15,65,880,,,,,,,12,838,297,,,,,,,14,911,337,,,,,,,36,998,153,,,,,,,14,813,865,,,,,,
2,327.7,15,65,880,,,,,,,12,838,297,,,,,,,14,911,337,,,,,,,32,1003,152,,,,,,,14,812,865,,,,,,
3,352.0,15,65,880,,,,,,,12,838,296,,,,,,,14,911,337,,,,,,,28,1011,152,,,,,,,14,812,865,,,,,,
4,383.8,15,65,880,,,,,,,12,838,295,,,,,,,14,911,337,,,,,,,16,1012,152,,,,,,,14,813,865,,,,,,
5,383.8,15,65,880,,,,,,,12,838,294,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,813,865,,,,,,
6,393.6,15,65,880,,,,,,,12,838,294,,,,,,,14,911,336,,,,,,,20,1020,150,,,,,,,14,813,865,,,,,,
7,418.0,15,65,880,,,,,,,12,838,294,,,,,,,14,911,337,,,,,,,21,1018,151,,,,,,,14,812,865,,,,,,
8,431.2,15,65,880,,,,,,,12,838,294,,,,,,,14,911,337,,,,,,,21,1013,150,,,,,,,14,812,865,,,,,,
9,438.8,15,65,880,,,,,,,12,838,294,,,,,,,14,911,337,,,,,,,18,1015,151,,,,,,,14,812,865,,,,,,
10,447.6,15,65,880,,,,,,,12,838,294,,,,,,,14,911,337,,,,,,,18,1014,151,,,,,,,14,813,865,,,,,,
11,455.6,15,65,880,,,,,,,12,839,294,,,,,,,14,911,337,,,,,,,13,1013,151,,,,,,,14,812,865,,,,,,
12,493.1,15,65,880,,,,,,,12,839,293,,,,,,,14,911,337,,,,,,,15,1018,150,,,,,,,14,812,865,,,,,,
13,493.1,15,65,880,,,,,,,12,839,293,,,,,,,14,911,337,,,,,,,9,1005,151,,,,,,,14,813,864,,,,,,
14,493.1,15,66,880,,,,,,,12,839,293,,,,,,,14,911,336,,,,,,,21,1010,149,,,,,,,14,813,865,,,,,,
15,509.2,15,65,880,,,,,,,12,839,293,,,,,,,14,911,337,,,,,,,15,1020,150,,,,,,,14,813,865,,,,,,
16,541.1,15,65,880,,,,,,,12,839,293,,,,,,,14,911,337,,,,,,,24,1019,150,,,,,,,14,812,865,,,,,,
17,573.1,15,65,880,,,,,,,12,839,294,,,,,,,14,911,337,,,,,,,25,1021,151,,,,,,,14,812,865,,,,,,
18,609.1,15,65,880,,,,,,,12,840,294,,,,,,,14,911,337,,,,,,,20,1016,151,,,,,,,14,812,865,,,,,,
19,641.2,15,65,880,,,,,,,12,840,295,,,,,,,14,911,337,,,,,,,27,1016,152,,,,,,,14,812,865,,,,,,
20,673.1,15,65,880,,,,,,,12,840,296,,,,,,,14,911,337,,,,,,,21,1008,153,,,,,,,14,812,865,,,,,,
21,710.3,15,65,880,,,,,,,12,840,296,,,,,,,14,911,337,,,,,,,17,1015,153,,,,,,,14,812,865,,,,,,
22,741.3,15,66,880,,,,,,,12,840,296,,,,,,,14,912,337,,,,,,,24,1024,152,,,,,,,14,813,865,,,,,,
23,773.4,15,65,880,,,,,,,12,839,295,,,,,,,14,911,337,,,,,,,17,1017,152,,,,,,,14,813,865,,,,,,
