frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,149.7,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,38,959,115,,,,,,,14,812,866,,,,,,
1,149.7,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,18,961,114,,,,,,,14,812,866,,,,,,
2,294.8,15,65,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,10,963,114,,,,,,,14,812,866,,,,,,
3,313.5,15,64,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
4,326.4,14,64,881,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
5,356.0,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
6,372.4,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
7,384.7,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
8,394.8,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
9,405.1,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
10,425.6,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
11,435.6,15,64,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
12,435.6,15,65,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
13,451.2,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
14,486.2,15,65,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
15,519.8,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
16,543.6,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
17,578.7,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
18,610.7,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
19,642.9,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
20,678.2,15,65,880,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
21,710.7,15,65,880,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
22,742.4,15,64,881,,,,,,,,,,,,,,,,14,911,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
23,777.9,15,65,881,,,,,,,,,,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
24,809.8,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
25,842.8,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
26,878.3,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,8,955,117,,,,,,,14,812,866,,,,,,
27,910.0,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
28,942.3,15,65,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
29,977.8,15,65,880,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
30,1010.7,15,65,881,,,,,,,,,,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
