frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,154.5,15,64,881,,,,,,,9,863,316,,,,,,,14,912,339,,,,,,,21,921,235,,,,,,,14,812,867,,,,,,
1,154.5,15,64,881,,,,,,,9,863,317,,,,,,,14,912,339,,,,,,,40,989,191,,,,,,,14,811,866,,,,,,
2,313.8,15,64,881,,,,,,,11,867,317,,,,,,,14,912,340,,,,,,,28,994,187,,,,,,,14,812,866,,,,,,
3,334.1,15,64,881,,,,,,,7,862,316,,,,,,,14,912,339,,,,,,,11,990,185,,,,,,,14,812,866,,,,,,
4,361.8,15,64,881,,,,,,,10,864,317,,,,,,,13,911,338,,,,,,,9,999,178,,,,,,,14,812,866,,,,,,
5,372.2,15,64,881,,,,,,,10,866,317,,,,,,,13,911,339,,,,,,,16,997,180,,,,,,,14,812,866,,,,,,
6,384.5,15,64,881,,,,,,,10,865,317,,,,,,,14,911,339,,,,,,,19,1002,178,,,,,,,14,812,866,,,,,,
7,395.1,15,64,881,,,,,,,10,865,316,,,,,,,14,911,339,,,,,,,17,995,182,,,,,,,14,811,866,,,,,,
8,406.4,15,64,881,,,,,,,10,866,316,,,,,,,14,911,339,,,,,,,21,996,181,,,,,,,14,811,866,,,,,,
9,416.9,15,64,881,,,,,,,9,866,317,,,,,,,13,912,339,,,,,,,21,1000,178,,,,,,,14,811,867,,,,,,
10,427.8,15,64,881,,,,,,,11,867,317,,,,,,,14,911,339,,,,,,,23,994,184,,,,,,,14,811,866,,,,,,
11,454.3,15,64,881,,,,,,,10,866,317,,,,,,,14,912,339,,,,,,,14,992,183,,,,,,,14,812,866,,,,,,
