frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
51,1707.2,15,66,880,,,,,,,14,1058,727,,,,,,,15,1079,813,,,,,,,14,814,866,,,,,,
52,1743.7,15,66,880,,,,,,,14,1058,727,,,,,,,15,1080,812,,,,,,,14,814,866,,,,,,
53,1775.2,15,66,880,,,,,,,14,1058,726,,,,,,,15,1079,812,,,,,,,14,814,866,,,,,,
54,1807.4,15,65,880,,,,,,,14,1057,725,,,,,,,15,1079,810,,,,,,,14,813,866,,,,,,
55,1843.4,15,66,880,,,,,,,14,1057,724,,,,,,,15,1079,810,,,,,,,14,814,866,,,,,,
56,1876.9,15,66,880,,,,,,,14,1057,723,,,,,,,15,1079,809,,,,,,,14,814,865,,,,,,
57,1907.1,15,66,880,,,,,,,14,1057,722,,,,,,,15,1079,807,,,,,,,14,814,865,,,,,,
58,1943.1,15,65,881,,,,,,,14,1056,720,,,,,,,15,1079,805,,,,,,,14,813,866,,,,,,
59,1975.9,15,66,880,,,,,,,14,1056,719,,,,,,,15,1079,804,,,,,,,14,814,866,,,,,,
60,2007.7,15,66,880,,,,,,,14,1056,716,,,,,,,15,1079,800,,,,,,,14,813,866,,,,,,
61,2043.0,15,66,880,,,,,,,14,1056,713,,,,,,,15,1078,798,,,,,,,14,814,866,,,,,,
62,2075.2,15,66,880,,,,,,,14,1055,710,,,,,,,15,1078,795,,,,,,,14,813,866,,,,,,
63,2107.1,15,66,880,,,,,,,14,1054,706,,,,,,,15,1077,791,,,,,,,14,813,866,,,,,,
64,2142.9,15,66,880,,,,,,,14,1053,703,,,,,,,15,1077,787,,,,,,,15,814,866,,,,,,
65,2175.2,15,66,880,,,,,,,14,1053,699,,,,,,,15,1077,783,,,,,,,14,814,866,,,,,,
66,2209.7,15,65,880,,,,,,,14,1051,695,,,,,,,15,1076,779,,,,,,,14,813,866,,,,,,
67,2243.0,15,65,881,,,,,,,14,1051,691,,,,,,,15,1075,774,,,,,,,14,813,866,,,,,,
68,2275.3,15,66,880,,,,,,,14,1050,685,,,,,,,15,1075,770,,,,,,,14,814,866,,,,,,
69,2307.4,15,66,881,,,,,,,14,1049,681,,,,,,,15,1074,765,,,,,,,14,813,865,,,,,,
70,2347.7,15,66,881,,,,,,,14,1048,676,,,,,,,15,1073,759,,,,,,,14,814,866,,,,,,
71,2375.1,15,65,881,,,,,,,14,1047,672,,,,,,,15,1073,754,,,,,,,15,813,866,,,,,,
72,2407.5,15,66,880,,,,,,,14,1046,668,,,,,,,15,1072,750,,,,,,,15,813,866,,,,,,
73,2443.4,15,66,880,,,,,,,14,1045,663,,,,,,,15,1072,745,,,,,,,15,813,866,,,,,,
74,2475.1,15,66,881,,,,,,,14,1044,659,,,,,,,15,1071,741,,,,,,,15,813,866,,,,,,
75,2507.2,15,65,881,,,,,,,14,1043,655,,,,,,,15,1070,736,,,,,,,14,814,866,,,,,,
76,2543.4,15,66,881,,,,,,,14,1042,651,,,,,,,15,1069,733,,,,,,,15,813,866,,,,,,
77,2575.1,15,65,881,,,,,,,14,1041,647,,,,,,,15,1068,729,,,,,,,15,813,865,,,,,,
78,2607.4,15,66,881,,,,,,,14,1040,644,,,,,,,15,1068,726,,,,,,,14,813,866,,,,,,
79,2643.2,15,66,881,,,,,,,14,1040,641,,,,,,,15,1067,722,,,,,,,15,813,866,,,,,,
80,2675.2,15,66,881,,,,,,,14,1039,637,,,,,,,15,1067,719,,,,,,,15,813,865,,,,,,
81,2707.2,15,66,881,,,,,,,14,1038,635,,,,,,,15,1066,716,,,,,,,14,814,866,,,,,,
82,2743.7,15,65,881,,,,,,,14,1037,632,,,,,,,15,1066,713,,,,,,,15,813,865,,,,,,
83,2775.2,15,65,881,,,,,,,14,1036,629,,,,,,,15,1065,709,,,,,,,15,813,865,,,,,,
84,2807.4,15,66,881,,,,,,,14,1035,626,,,,,,,15,1065,706,,,,,,,14,814,866,,,,,,
85,2843.1,15,65,881,,,,,,,14,1035,623,,,,,,,15,1064,703,,,,,,,15,814,866,,,,,,
86,2875.3,15,66,881,,,,,,,14,1034,621,,,,,,,15,1063,700,,,,,,,14,813,865,,,,,,
87,2907.5,15,65,881,,,,,,,14,1033,618,,,,,,,15,1063,697,,,,,,,14,813,865,,,,,,
88,2943.3,15,65,881,,,,,,,14,1032,614,,,,,,,15,1062,694,,,,,,,15,813,866,,,,,,
89,2978.7,15,65,881,,,,,,,14,1031,611,,,,,,,15,1061,690,,,,,,,15,813,865,,,,,,
90,3007.4,15,65,881,,,,,,,14,1030,606,,,,,,,15,1060,686,,,,,,,15,813,866,,,,,,
91,3043.0,15,65,881,,,,,,,14,1028,602,,,,,,,15,1059,681,,,,,,,14,813,865,,,,,,
92,3075.0,15,65,881,,,,,,,14,1027,597,,,,,,,15,1058,676,,,,,,,15,814,866,,,,,,
93,3107.3,15,65,881,,,,,,,14,1026,593,,,,,,,15,1057,671,,,,,,,15,814,866,,,,,,
94,3143.8,15,65,881,,,,,,,14,1024,588,,,,,,,15,1056,666,,,,,,,15,814,866,,,,,,
95,3176.0,15,65,881,,,,,,,14,1023,584,,,,,,,15,1054,662,,,,,,,14,813,866,,,,,,
96,3207.4,15,65,881,,,,,,,14,1021,580,,,,,,,15,1054,657,,,,,,,14,814,866,,,,,,
97,3243.2,15,65,881,,,,,,,14,1020,576,,,,,,,15,1053,654,,,,,,,14,814,866,,,,,,
98,3275.1,15,65,881,,,,,,,14,1019,573,,,,,,,15,1051,650,,,,,,,14,813,866,,,,,,
99,3309.2,15,65,881,,,,,,,14,1018,570,,,,,,,15,1050,647,,,,,,,14,813,865,,,,,,
