frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,159.0,15,65,880,,,,,,,12,819,294,,,,,,,14,911,336,,,,,,,22,852,149,,,,,,,14,812,865,,,,,,
1,159.0,15,65,880,,,,,,,12,819,295,,,,,,,14,911,337,,,,,,,41,945,121,,,,,,,14,812,865,,,,,,
2,346.6,15,65,880,,,,,,,12,819,297,,,,,,,14,911,336,,,,,,,39,936,124,,,,,,,14,812,865,,,,,,
3,373.8,15,65,880,,,,,,,12,820,298,,,,,,,14,911,337,,,,,,,22,935,128,,,,,,,14,812,865,,,,,,
4,397.0,15,65,880,,,,,,,12,821,299,,,,,,,14,912,337,,,,,,,32,935,129,,,,,,,14,813,865,,,,,,
5,408.1,15,65,880,,,,,,,12,822,300,,,,,,,14,912,338,,,,,,,32,953,126,,,,,,,14,812,865,,,,,,
6,420.6,15,65,880,,,,,,,12,823,301,,,,,,,14,911,338,,,,,,,30,958,125,,,,,,,14,812,865,,,,,,
7,431.4,15,65,880,,,,,,,12,824,302,,,,,,,14,911,337,,,,,,,27,933,133,,,,,,,14,812,865,,,,,,
8,443.7,15,65,880,,,,,,,12,825,303,,,,,,,14,911,337,,,,,,,28,932,134,,,,,,,14,812,865,,,,,,
9,454.3,15,65,880,,,,,,,12,826,304,,,,,,,14,911,337,,,,,,,31,960,128,,,,,,,14,812,865,,,,,,
10,466.4,15,65,880,,,,,,,12,828,305,,,,,,,14,911,337,,,,,,,22,959,130,,,,,,,14,812,865,,,,,,
11,478.1,15,65,880,,,,,,,12,830,306,,,,,,,14,911,337,,,,,,,18,953,133,,,,,,,14,813,865,,,,,,
