frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
42,1406.9,14,64,881,,,,,,,12,887,304,,,,,,,14,912,338,,,,,,,12,998,131,,,,,,,13,811,864,,,,,,
43,1442.5,15,63,881,,,,,,,12,881,307,,,,,,,14,912,338,,,,,,,10,997,127,,,,,,,14,811,866,,,,,,
44,1474.4,15,64,881,,,,,,,12,873,312,,,,,,,13,912,338,,,,,,,9,1002,119,,,,,,,12,811,864,,,,,,
45,1506.9,15,64,881,,,,,,,12,862,320,,,,,,,13,912,338,,,,,,,11,1002,114,,,,,,,12,810,863,,,,,,
46,1542.1,15,64,881,,,,,,,12,847,329,,,,,,,13,912,338,,,,,,,10,1011,104,,,,,,,12,811,864,,,,,,
47,1573.7,15,64,881,,,,,,,12,830,339,,,,,,,14,912,338,,,,,,,5,1007,100,,,,,,,13,811,864,,,,,,
48,1606.8,15,64,881,,,,,,,12,812,351,,,,,,,14,912,338,,,,,,,11,1015,90,,,,,,,12,811,864,,,,,,
49,1642.5,15,64,881,,,,,,,12,791,364,,,,,,,13,912,338,,,,,,,,,,,,,,,,13,811,865,,,,,,
50,1674.1,15,64,881,,,,,,,11,767,379,,,,,,,13,912,338,,,,,,,10,1024,73,,,,,,,14,811,866,,,,,,
51,1706.3,15,63,881,,,,,,,12,741,396,,,,,,,13,912,339,,,,,,,,,,,,,,,,13,811,865,,,,,,
52,1741.6,15,63,881,,,,,,,12,714,413,,,,,,,14,912,338,,,,,,,6,1038,53,,,,,,,12,811,864,,,,,,
53,1773.7,15,64,881,,,,,,,11,685,431,,,,,,,13,911,338,,,,,,,12,1062,38,,,,,,,13,811,865,,,,,,
54,1806.3,15,64,881,,,,,,,11,654,451,,,,,,,13,912,338,,,,,,,18,1042,30,,,,,,,12,810,863,,,,,,
55,1841.7,14,63,881,,,,,,,11,620,472,,,,,,,13,912,339,,,,,,,7,1077,7,,,,,,,13,811,864,,,,,,
56,1874.5,14,64,881,,,,,,,11,586,494,,,,,,,13,911,339,,,,,,,,,,,,,,,,13,811,864,,,,,,
57,1906.0,14,64,881,,,,,,,11,548,518,,,,,,,13,911,338,,,,,,,,,,,,,,,,12,811,863,,,,,,
58,1941.8,15,64,881,,,,,,,11,509,543,,,,,,,13,911,338,,,,,,,,,,,,,,,,13,811,865,,,,,,
59,1973.8,15,63,881,,,,,,,11,467,570,,,,,,,13,911,338,,,,,,,,,,,,,,,,12,811,864,,,,,,
60,2006.0,15,64,881,,,,,,,11,423,598,,,,,,,13,911,338,,,,,,,,,,,,,,,,13,811,864,,,,,,
61,2041.8,15,64,881,,,,,,,9,376,626,,,,,,,13,911,338,,,,,,,,,,,,,,,,13,811,864,,,,,,
62,2073.9,15,64,881,,,,,,,6,326,655,,,,,,,13,911,338,,,,,,,,,,,,,,,,13,811,865,,,,,,
63,2106.3,15,64,881,,,,,,,10,276,692,,,,,,,14,911,337,,,,,,,,,,,,,,,,13,811,865,,,,,,
64,2142.7,15,63,881,,,,,,,6,218,724,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,811,865,,,,,,
65,2173.7,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,13,810,865,,,,,,
66,2206.7,15,64,881,,,,,,,,,,,,,,,,13,910,338,,,,,,,,,,,,,,,,13,811,864,,,,,,
67,2249.1,15,64,880,,,,,,,11,62,813,,,,,,,14,911,337,,,,,,,,,,,,,,,,14,811,865,,,,,,
68,2274.0,15,63,880,,,,,,,11,25,818,,,,,,,14,910,336,,,,,,,,,,,,,,,,13,811,864,,,,,,
69,2306.0,15,63,880,,,,,,,,,,,,,,,,14,910,338,,,,,,,8,107,815,,,,,,,14,811,865,,,,,,
70,2342.0,15,63,880,,,,,,,,,,,,,,,,14,911,337,,,,,,,,,,,,,,,,13,811,865,,,,,,
71,2373.9,15,63,880,,,,,,,,,,,,,,,,13,911,337,,,,,,,5,42,823,,,,,,,13,811,865,,,,,,
72,2408.3,15,63,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
73,2441.7,15,63,881,,,,,,,,,,,,,,,,14,910,338,,,,,,,6,6,834,,,,,,,14,811,866,,,,,,
74,2474.5,15,64,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,10,15,835,,,,,,,13,811,865,,,,,,
75,2506.3,15,63,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,12,13,836,,,,,,,13,811,865,,,,,,
76,2544.7,15,63,881,,,,,,,,,,,,,,,,14,911,337,,,,,,,6,20,834,,,,,,,13,810,865,,,,,,
