frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,148.8,15,54,882,,,,,,,,,,,,,,,,16,1088,809,,,,,,,,,,,,,,,,12,814,872,,,,,,
1,148.8,14,54,882,,,,,,,7,1046,747,,,,,,,16,1089,808,,,,,,,,,,,,,,,,13,815,869,,,,,,
2,296.4,15,54,882,,,,,,,12,1046,741,,,,,,,16,1088,809,,,,,,,,,,,,,,,,12,813,869,,,,,,
3,325.3,15,54,882,,,,,,,13,1047,741,,,,,,,16,1087,810,,,,,,,,,,,,,,,,15,813,872,,,,,,
4,341.5,15,54,883,,,,,,,13,1047,741,,,,,,,16,1088,810,,,,,,,,,,,,,,,,15,813,872,,,,,,
5,357.3,15,54,883,,,,,,,13,1047,741,,,,,,,16,1088,810,,,,,,,,,,,,,,,,15,813,872,,,,,,
6,368.1,15,55,883,,,,,,,13,1047,741,,,,,,,16,1087,811,,,,,,,,,,,,,,,,15,813,873,,,,,,
7,379.2,15,54,883,,,,,,,13,1047,741,,,,,,,16,1087,811,,,,,,,,,,,,,,,,15,813,873,,,,,,
8,390.0,15,54,883,,,,,,,13,1047,741,,,,,,,16,1087,810,,,,,,,,,,,,,,,,15,813,872,,,,,,
9,402.5,15,55,882,,,,,,,13,1047,740,,,,,,,16,1088,810,,,,,,,,,,,,,,,,15,813,872,,,,,,
10,415.1,15,54,882,,,,,,,13,1047,740,,,,,,,16,1086,810,,,,,,,,,,,,,,,,15,813,872,,,,,,
